Intro,Subject,Verb,Objects
Intro 3 - สถาบันเทคโนโลยีไทย-ญี่ปุ่น,การ,พิมพ์,"['หนังสือ', 'และ', 'วารสาร', 'ทาง', 'ด้าน', 'เทคโนโลยี', 'และ']"
Intro 3 - สถาบันเทคโนโลยีไทย-ญี่ปุ่น,การ,จัดการ,"['ๆ', 'และ']"
Intro 3 - สถาบันเทคโนโลยีไทย-ญี่ปุ่น,การ,ให้,['คำ']
Intro 3 - สถาบันเทคโนโลยีไทย-ญี่ปุ่น,การ,ปรึกษา,"['แก่', 'สถาน']"
Intro 3 - สถาบันเทคโนโลยีไทย-ญี่ปุ่น,การ,ประกอบ,"['ใน', 'ภาค', 'อุตสาหกรรม']"
Intro 4 - วิทยาลัยเทคโนโลยีพนมวันท์,วิทยาลัยเทคโนโลยีพนมวันท์   ( Phanomwan   College   of   Technology )  ,เป็น,"['สถาบัน', 'อุดมศึกษา', 'เอกชน', 'ใน', 'ประเทศไทย']"
Intro 4 - วิทยาลัยเทคโนโลยีพนมวันท์,วิทยาลัยเทคโนโลยีพนมวันท์   ( Phanomwan   College   of   Technology )  ,ตั้ง,"['ที่', 'ถนนมิตรภาพ', 'ตำบลบ้านโพธิ์', 'อำเภอเมือง', 'นครราชสีมา']"
Intro 4 - วิทยาลัยเทคโนโลยีพนมวันท์,จังหวัดนครราชสีมา  ,ก่อตั้ง,"['วัน', '21', 'พฤศจิกายน', 'พ.ศ.', '2550', 'ปัจจุบัน']"
Intro 4 - วิทยาลัยเทคโนโลยีพนมวันท์,จังหวัดนครราชสีมา  ,มี,
Intro 4 - วิทยาลัยเทคโนโลยีพนมวันท์,ดร.พิสิษฐ์ ศิริรักษ์  ,เป็น,"['อธิการบดี', 'และ', 'ศาสตราจารย', 'ดร.บุญทัน ']"
Intro 4 - วิทยาลัยเทคโนโลยีพนมวันท์,ดอกไธสง  ,เป็น,"['นายก', 'สภาวิทยาลัย']"
Intro 5 - สถาบันการเรียนรู้เพื่อปวงชน,สถาบัน การ,เรียนรู้,
Intro 5 - สถาบันการเรียนรู้เพื่อปวงชน,สถาบัน การ,ปวงชน,"['หรือ', 'มหาวิทยาลัยชีวิต', 'อังกฤษ', 'Learning', 'Institute', 'For', 'Everyone', 'LIFE']"
Intro 5 - สถาบันการเรียนรู้เพื่อปวงชน,สถาบัน การ,เป็น,"['สถาบัน', 'อุดมศึกษา', 'เอกชน', 'ใน', 'ประเทศไทย']"
Intro 5 - สถาบันการเรียนรู้เพื่อปวงชน,สถาบัน การ,มี,['สำนักงานสถาบัน']
Intro 5 - สถาบันการเรียนรู้เพื่อปวงชน,สถาบัน การ,ตั้ง,"['ที่', '13', '2', 'หมู่', '1', 'ตำบลบาง', 'คนที']"
Intro 5 - สถาบันการเรียนรู้เพื่อปวงชน,สถาบัน การ,,
Intro 5 - สถาบันการเรียนรู้เพื่อปวงชน,จังหวัดสมุทรสงคราม   ได้,รับ,
Intro 5 - สถาบันการเรียนรู้เพื่อปวงชน,จังหวัดสมุทรสงคราม   ได้,อนุญาต,"['จาก', 'กระทรวงศึกษาธิการ', 'วัน', '31', 'สิงหาคม', 'พ.ศ.', '2553']"
Intro 5 - สถาบันการเรียนรู้เพื่อปวงชน,จังหวัดสมุทรสงคราม   ได้,เปิด,
Intro 5 - สถาบันการเรียนรู้เพื่อปวงชน,จังหวัดสมุทรสงคราม   ได้,สอน,"['ใน', 'ระดับ', 'ปริญญา', 'ตรี', 'และ', 'ระดับ', 'ปริญญา', 'โท']"
Intro 5 - สถาบันการเรียนรู้เพื่อปวงชน,ปัจจุบัน สถาบัน ได้,เปิด,['ศูนย์']
Intro 5 - สถาบันการเรียนรู้เพื่อปวงชน,ปัจจุบัน สถาบัน ได้,เรียนรู้,
Intro 5 - สถาบันการเรียนรู้เพื่อปวงชน,ปัจจุบัน สถาบัน ได้,ปวงชน,"['ใน', 'ภาค', '30', 'จังหวัด']"
Intro 5 - สถาบันการเรียนรู้เพื่อปวงชน,ปัจจุบัน สถาบัน ได้,มี,
Intro 5 - สถาบันการเรียนรู้เพื่อปวงชน,ปัจจุบัน สถาบัน ได้,ศึกษา,"['6,000', 'คน']"
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,สถาบันเทคโนโลยี แห่ง สุวรรณภูมิ   ( อังกฤษ :   Suvarnabhumi  Institute   Of   Technology )    ,เป็น,"['สถาบัน', 'อุดมศึกษา', 'แห่ง', 'แรก', 'ของ', 'โรง']"
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,สถาบันเทคโนโลยี แห่ง สุวรรณภูมิ   ( อังกฤษ :   Suvarnabhumi  Institute   Of   Technology )    ,เรียน,"['ใน', 'เครือ', 'สารสาสน์']"
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,สถาบันเทคโนโลยี แห่ง สุวรรณภูมิ   ( อังกฤษ :   Suvarnabhumi  Institute   Of   Technology )    ,รับ,
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,สถาบันเทคโนโลยี แห่ง สุวรรณภูมิ   ( อังกฤษ :   Suvarnabhumi  Institute   Of   Technology )    ,ยอม,
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,สถาบันเทคโนโลยี แห่ง สุวรรณภูมิ   ( อังกฤษ :   Suvarnabhumi  Institute   Of   Technology )    ,รับ,
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,สถาบันเทคโนโลยี แห่ง สุวรรณภูมิ   ( อังกฤษ :   Suvarnabhumi  Institute   Of   Technology )    ,เป็น,['โรง']
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,สถาบันเทคโนโลยี แห่ง สุวรรณภูมิ   ( อังกฤษ :   Suvarnabhumi  Institute   Of   Technology )    ,เรียน,"['สอง', 'ภาษา']"
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,สถาบันเทคโนโลยี แห่ง สุวรรณภูมิ   ( อังกฤษ :   Suvarnabhumi  Institute   Of   Technology )    ,อยู่,"['แถว', 'หน้า', 'ของ']"
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,สถาบันเทคโนโลยี แห่ง สุวรรณภูมิ   ( อังกฤษ :   Suvarnabhumi  Institute   Of   Technology )    ,ผลิต,['นัก']
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,สถาบันเทคโนโลยี แห่ง สุวรรณภูมิ   ( อังกฤษ :   Suvarnabhumi  Institute   Of   Technology )    ,เรียน,
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,สถาบันเทคโนโลยี แห่ง สุวรรณภูมิ   ( อังกฤษ :   Suvarnabhumi  Institute   Of   Technology )    ,มี,"['ศักยภาพ', 'ด้าน']"
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,สถาบันเทคโนโลยี แห่ง สุวรรณภูมิ   ( อังกฤษ :   Suvarnabhumi  Institute   Of   Technology )    ,ใช้,"['ภาษา', 'ต่าง', 'ประเทศ']"
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,สถาบันเทคโนโลยี แห่ง สุวรรณภูมิ   ( อังกฤษ :   Suvarnabhumi  Institute   Of   Technology )    ,เฉพาะ,"['ภาษา', 'อังกฤษ']"
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,สถาบันเทคโนโลยี แห่ง สุวรรณภูมิ   ( อังกฤษ :   Suvarnabhumi  Institute   Of   Technology )    ,เป็น,
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,สถาบันเทคโนโลยี แห่ง สุวรรณภูมิ   ( อังกฤษ :   Suvarnabhumi  Institute   Of   Technology )    ,ประจักษ์,
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,สถาบันเทคโนโลยี แห่ง สุวรรณภูมิ   ( อังกฤษ :   Suvarnabhumi  Institute   Of   Technology )    ,ควบคู่,['กับ']
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,สถาบันเทคโนโลยี แห่ง สุวรรณภูมิ   ( อังกฤษ :   Suvarnabhumi  Institute   Of   Technology )    ,รู้,"['ทาง', 'วิชาการ', 'สาขา', 'ตั้งแต่', 'ปี', 'พ.ศ.', '2507', 'ปัจจุบัน']"
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,สถาบันเทคโนโลยี แห่ง สุวรรณภูมิ   ( อังกฤษ :   Suvarnabhumi  Institute   Of   Technology )    ,ขยาย,"['โอกาส', 'ทาง']"
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,สถาบันเทคโนโลยี แห่ง สุวรรณภูมิ   ( อังกฤษ :   Suvarnabhumi  Institute   Of   Technology )    ,ศึกษา,"['สู่', 'ระดับ', 'อุดมศึกษา']"
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,สถาบันเทคโนโลยี แห่ง สุวรรณภูมิ   ( อังกฤษ :   Suvarnabhumi  Institute   Of   Technology )    ,คือ,"['“', 'สถาบันเทคโนโลยี', 'แห่ง', 'สุวรรณภูมิ”', 'SUVARNABHUMI', 'INSTITUTE', 'OF', 'TECHNOLOGY', 'S', 'VIT']"
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,สถาบันเทคโนโลยี แห่ง สุวรรณภูมิ   ( อังกฤษ :   Suvarnabhumi  Institute   Of   Technology )    ,เป็น,"['สถาบัน', 'อุดมศึกษา', 'เอกชน', 'ใน', 'ประเทศไทย']"
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,สถาบันเทคโนโลยี แห่ง สุวรรณภูมิ   ( อังกฤษ :   Suvarnabhumi  Institute   Of   Technology )    ,ตั้ง,"['ที่', 'ตำบลบางพลี']"
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,สถาบันเทคโนโลยี แห่ง สุวรรณภูมิ   ( อังกฤษ :   Suvarnabhumi  Institute   Of   Technology )    ,ใหญ่,
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,สถาบันเทคโนโลยี แห่ง สุวรรณภูมิ   ( อังกฤษ :   Suvarnabhumi  Institute   Of   Technology )    ,,
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,จังหวัดสมุทรปราการ  ,ก่อตั้ง,"['ปี', 'พ.ศ.', '2558']"
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,จังหวัดสมุทรปราการ  ,นับ,
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,จังหวัดสมุทรปราการ  ,เป็น,"['สถาบัน', 'อุดมศึกษา', 'เอกชน', 'แห่ง', '4', 'ของ', 'จังหวัดสมุทรปราการ']"
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,ปัจจุบัน,มี,
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,ดร.สุทธิพงศ์ ยงค์กมล  ,เป็น,"['นายก', 'สภาสถาบัน ']"
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,ดร.สยมพร ทองเนื้อ,ดี,
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,ดร.สยมพร ทองเนื้อ,เป็น,"['อธิการบดี', 'ด้วย', 'ปณิธาน', 'และ']"
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,ดร.สยมพร ทองเนื้อ,มุ่งมั่น,['ใน']
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,ดร.สยมพร ทองเนื้อ,จัด,"['การเรียนการสอน', 'ภาษา', 'อังกฤษ', 'และ']"
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,ดร.สยมพร ทองเนื้อ,รู้,"['วิชาการ', 'สาขา']"
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,ดร.สยมพร ทองเนื้อ,มี,"['คุณภาพ', 'เพื่อ']"
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,ดร.สยมพร ทองเนื้อ,เสริม,"['จุดแข็ง', 'กับ', 'นัก']"
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,ดร.สยมพร ทองเนื้อ,ศึกษา,"['ของ', '“', 'สถาบันเทคโนโลยี', 'แห่ง', 'สุวรรณภูมิ”', 'คู่']"
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,ดร.สยมพร ทองเนื้อ,ขนาน,"['กับ', 'ทักษะ']"
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,ดร.สยมพร ทองเนื้อ,เฉพาะ,"['ทาง', 'เทคโนโลยี', 'และ', 'นวัตกรรม']"
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,ดร.สยมพร ทองเนื้อ,รวม,"['ทั้ง', 'ทักษะ', 'ทาง', 'วิชาชีพ', 'ตาม', 'สาขา', 'วิชา']"
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,ดร.สยมพร ทองเนื้อ,สร้าง,"['อัตลักษณ์', 'ของ', 'สถาน']"
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,ดร.สยมพร ทองเนื้อ,ศึกษา,
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,ดร.สยมพร ทองเนื้อ,เห็น,
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,ดร.สยมพร ทองเนื้อ,ชัดเจน,
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,ดร.สยมพร ทองเนื้อ,โดดเด่น,"['ใน', 'เรื่อง']"
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,ดร.สยมพร ทองเนื้อ,รู้,"['ทาง', 'วิชาการ', 'และ', 'วิชาชีพ', 'ดัง']"
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,ดร.สยมพร ทองเนื้อ,กล่าว,
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,ดร.สยมพร ทองเนื้อ,ถือ,
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,ดร.สยมพร ทองเนื้อ,เป็น,['รากฐาน']
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,ดร.สยมพร ทองเนื้อ,สำคัญ,['ของ']
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,ดร.สยมพร ทองเนื้อ,สร้าง,"['คุณค่า', 'และ']"
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,ดร.สยมพร ทองเนื้อ,มูลค่า,"['กับ', 'นัก']"
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,ดร.สยมพร ทองเนื้อ,ศึกษา,"['ใน', 'สถาบันเทคโนโลยี', 'แห่ง', 'สุวรรณภูมิ', '\n', 'ปัจจุบัน', 'สถาบันเทคโนโลยี', 'แห่ง', 'สุวรรณภูมิ']"
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,ดร.สยมพร ทองเนื้อ,เปิด,
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,ดร.สยมพร ทองเนื้อ,สอน,"['ใน', 'หลักสูตร', 'ดัง']"
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,ดร.สยมพร ทองเนื้อ,คือ,"['กลุ่ม', 'หลักสูตร', 'ระดับ', 'ปริญญา', 'ตรี']"
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,ดร.สยมพร ทองเนื้อ,ประกอบ,"['ด้วย', 'หลักสูตร', 'วิศวกรรมศาสตรบัณฑิต', 'สาขา']"
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,ดร.สยมพร ทองเนื้อ,ปลอด,"['ภัย', 'หลักสูตร']"
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,ดร.สยมพร ทองเนื้อ,บริหาร,"['ธุรกิจ', 'บัณฑิต', 'และ', 'บริหารธุรกิจ', 'บัณฑิต', 'หลักสูตร']"
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,ดร.สยมพร ทองเนื้อ,นานา,"['ชาติ', 'หลักสูตร', 'บัญชี', 'บัณฑิต', 'และ', 'รัฐประศาสนศาสตรบัณฑิต']"
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,ดร.สยมพร ทองเนื้อ,,
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,ส่วน หลักสูตร ปริญญา โท  ,ประกอบ,['ด้วย']
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,ส่วน หลักสูตร ปริญญา โท  ,บริหาร,"['ธุรกิจมหาบัณฑิต', 'รัฐประศาสนศาสตรมหาบัณฑิต', 'และ']"
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,ส่วน หลักสูตร ปริญญา โท  ,ศึกษา,['ศาสตรมหาบัณฑิต']
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,นอก จาก นี้ ยัง,มี,['แผนที่']
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,นอก จาก นี้ ยัง,ขยาย,"['พื้นที่', 'ยัง', 'วิทยาเขตพระราม 2', 'จังหวัดสมุทรสาคร']"
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,นอก จาก นี้ ยัง,เปิด,
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,นอก จาก นี้ ยัง,สอน,"['สาขา', 'อาทิ', 'สาขา', 'อุตสาหกรรม']"
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,นอก จาก นี้ ยัง,แปร,"['รูป', 'อาหาร', 'สาขา', 'วิศวกรรมโลจิสติกส์', 'และ']"
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,นอก จาก นี้ ยัง,จัด,
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,นอก จาก นี้ ยัง,ห่วงโซ่,"['อุปทาน', 'สาขา']"
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,นอก จาก นี้ ยัง,ศึกษา,"['ปฐม', 'วัย', 'สาขา', 'หลักสูตร', 'และ']"
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,นอก จาก นี้ ยัง,จัด,
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,นอก จาก นี้ ยัง,เรียนรู้,"['และ', 'สาขา', 'ดุริยางคศาสตร์', '\n']"
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,สถาบันเทคโนโลยี แห่ง สุวรรณภูมิ ยัง,มี,
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,สถาบันเทคโนโลยี แห่ง สุวรรณภูมิ ยัง,มุ่งมั่น,
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,สถาบันเทคโนโลยี แห่ง สุวรรณภูมิ ยัง,เปิด,
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,สถาบันเทคโนโลยี แห่ง สุวรรณภูมิ ยัง,สอน,"['หลักสูตร', 'สาขา']"
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,สถาบันเทคโนโลยี แห่ง สุวรรณภูมิ ยัง,เพิ่มเติม,
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,สถาบันเทคโนโลยี แห่ง สุวรรณภูมิ ยัง,ตอบ,['โจทย์']
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,สถาบันเทคโนโลยี แห่ง สุวรรณภูมิ ยัง,พัฒนา,"['ประเทศ', 'ภูมิภาค', 'และ', 'ชุมชน', 'ด้วย']"
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,สถาบันเทคโนโลยี แห่ง สุวรรณภูมิ ยัง,มุ่งเน้น,
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,สถาบันเทคโนโลยี แห่ง สุวรรณภูมิ ยัง,ผลิต,['บัณฑิต']
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,สถาบันเทคโนโลยี แห่ง สุวรรณภูมิ ยัง,มี,"['ทักษะ', 'และ', 'ศักยภาพ', 'ด้าน']"
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,สถาบันเทคโนโลยี แห่ง สุวรรณภูมิ ยัง,ใช้,"['ภาษา', 'สากล']"
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,สถาบันเทคโนโลยี แห่ง สุวรรณภูมิ ยัง,เฉพาะ,"['ภาษา', 'อังกฤษ']"
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,สถาบันเทคโนโลยี แห่ง สุวรรณภูมิ ยัง,เป็น,
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,สถาบันเทคโนโลยี แห่ง สุวรรณภูมิ ยัง,พิเศษ,
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,สถาบันเทคโนโลยี แห่ง สุวรรณภูมิ ยัง,ควบคู่,['กับ']
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,สถาบันเทคโนโลยี แห่ง สุวรรณภูมิ ยัง,รู้,"['ทาง', 'วิชาการ', 'สาขา']"
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,สถาบันเทคโนโลยี แห่ง สุวรรณภูมิ ยัง,ต่าง,"['ๆ', 'ทั้ง']"
Intro 6 - สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,สถาบันเทคโนโลยี แห่ง สุวรรณภูมิ ยัง,มุ่งเน้น,
