Subject,Verb,Objects
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ   ( อังกฤษ :   Suvarnabhumi Institute   Of   Technology )    ,ควบคู่,['กับ']
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ   ( อังกฤษ :   Suvarnabhumi Institute   Of   Technology )    ,รู้,"['ทาง', 'วิชาการ', 'สาขา', 'ตั้งแต่', 'ปี', 'พ.ศ.', '2507', 'ปัจจุบัน']"
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ   ( อังกฤษ :   Suvarnabhumi Institute   Of   Technology )    ,ขยาย,"['โอกาส', 'ทาง']"
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ   ( อังกฤษ :   Suvarnabhumi Institute   Of   Technology )    ,ศึกษา,"['สู่', 'ระดับ', 'อุดมศึกษา']"
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ   ( อังกฤษ :   Suvarnabhumi Institute   Of   Technology )    ,เป็น,"['“', 'สถาบันเทคโนโลยีแห่งสุวรรณภูมิ', '”', 'SUVARNABHUMI', 'INSTITUTE', ' OF', 'TECHNOLOGY']"
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ   ( อังกฤษ :   Suvarnabhumi Institute   Of   Technology )    ,เป็น,"['สถาบัน', 'อุดมศึกษา', 'เอกชน', 'ใน', 'ประเทศไทย']"
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ   ( อังกฤษ :   Suvarnabhumi Institute   Of   Technology )    ,ตั้ง,"['ที่', 'ตำบลบางพลี']"
จังหวัดสมุทรปราการ  ,ก่อตั้ง,"['ปี', 'พ.ศ.', '2558']"
จังหวัดสมุทรปราการ  ,เป็น,"['สถาบัน', 'อุดมศึกษา', 'เอกชน', 'แห่ง', '4', 'ของ', 'จังหวัดสมุทรปราการ']"
ดร.สุทธิพงศ์ ยงค์กมล  ,เป็น,"['นายก', 'สภาสถาบัน']"
ดร.สุทธิพงศ์ ยงค์กมล  ,เป็น,"['อธิการบดี', 'ด้วย', 'ปณิธาน', 'และ']"
ดร.สุทธิพงศ์ ยงค์กมล  ,มุ่งมั่น,['ใน']
ดร.สุทธิพงศ์ ยงค์กมล  ,จัด,"['การเรียนการสอน', 'ภาษา', 'อังกฤษ', 'และ']"
ดร.สุทธิพงศ์ ยงค์กมล  ,รู้,"['วิชาการ', 'สาขา']"
ดร.สุทธิพงศ์ ยงค์กมล  ,มี,"['คุณภาพ', 'เพื่อ']"
ดร.สุทธิพงศ์ ยงค์กมล  ,เสริม,"['จุด', 'แข็ง', 'กับ', 'นัก']"
ดร.สุทธิพงศ์ ยงค์กมล  ,ศึกษา,"['ของ', '“', 'สถาบันเทคโนโลยีแห่งสุวรรณภูมิ', '”', 'คู่']"
ดร.สุทธิพงศ์ ยงค์กมล  ,ขนาน,"['กับ', 'ทักษะ']"
ดร.สุทธิพงศ์ ยงค์กมล  ,เฉพาะ,"['ทาง', 'เทคโนโลยี', 'และนวัตกรรม']"
ดร.สุทธิพงศ์ ยงค์กมล  ,รวม,"['ทั้ง', 'ทักษะ', 'ทาง', 'วิชาชีพ', 'ตาม', 'สาขา', 'วิชา']"
ดร.สุทธิพงศ์ ยงค์กมล  ,สร้าง,"['อัตลักษณ์', 'ของ', 'สถาน']"
ดร.สุทธิพงศ์ ยงค์กมล  ,โดดเด่น,"['ใน', 'เรื่อง']"
ดร.สุทธิพงศ์ ยงค์กมล  ,รู้,"['ทาง', 'วิชาการ', 'และ', 'วิชา', 'ชีพ']"
ดร.สุทธิพงศ์ ยงค์กมล  ,เป็น,['รากฐาน']
ดร.สุทธิพงศ์ ยงค์กมล  ,สำคัญ,['ของ']
ดร.สุทธิพงศ์ ยงค์กมล  ,สร้าง,"['คุณค่า', 'และ']"
ดร.สุทธิพงศ์ ยงค์กมล  ,มูลค่า,"['กับ', 'นัก']"
ดร.สุทธิพงศ์ ยงค์กมล  ,ศึกษา,"['ใน', 'สถาบันเทคโนโลยีแห่งสุวรรณภูมิ', ' \n', 'ปัจจุบัน', 'สถาบันเทคโนโลยีแห่งสุวรรณภูมิ']"
ดร.สุทธิพงศ์ ยงค์กมล  ,สอน,"['ใน', 'หลักสูตร', 'ดัง']"
ดร.สุทธิพงศ์ ยงค์กมล  ,เป็น,"['กลุ่ม', 'หลักสูตร', 'ระดับ', 'ปริญญา', 'ตรี']"
ดร.สุทธิพงศ์ ยงค์กมล  ,ประกอบ,"['ด้วย', 'หลักสูตร', 'วิศวกรรมศาสตรบัณฑิต', 'สาขา']"
ดร.สุทธิพงศ์ ยงค์กมล  ,ปลอด,"['ภัย', 'หลักสูตร', 'บริหารธุรกิจบัณฑิต', 'และ']"
ดร.สุทธิพงศ์ ยงค์กมล  ,บริหาร,"['ธุรกิจ', 'บัณฑิต', 'หลักสูตร']"
ดร.สุทธิพงศ์ ยงค์กมล  ,นานา,"['ชาติ', 'หลักสูตร', 'บัญชี', 'บัณฑิต', 'และ', 'รัฐประศาสนศาสตรบัณฑิต']"
ส่วน หลักสูตร ปริญญา โท  ,ประกอบ,['ด้วย']
ส่วน หลักสูตร ปริญญา โท  ,บริหาร,"['ธุรกิจ', 'มหาบัณฑิต', 'รัฐประศาสนศาสตรมหาบัณฑิต', 'และ', 'ศึกษาศาสตรมหาบัณฑิต']"
นอก จาก นี้ ยัง,มี,['แผนที่']
นอก จาก นี้ ยัง,ขยาย,"['พื้นที่', 'ยัง', 'วิทยา', 'เขตพระราม 2', 'จังหวัดสมุทรสาคร']"
นอก จาก นี้ ยัง,สอน,"['สาขา', 'อาทิ', 'สาขา', 'อุตสาหกรรม']"
นอก จาก นี้ ยัง,แปร,"['รูป', 'อาหาร', 'สาขา', 'วิศวกรรม', 'โลจิสติกส์', 'และ']"
นอก จาก นี้ ยัง,บริหาร,"['ห่วง', 'โซ่', 'อุปทาน', 'สาขา']"
นอก จาก นี้ ยัง,ศึกษา,"['ปฐมวัย', 'สาขา', 'หลักสูตร', 'และ']"
นอก จาก นี้ ยัง,เรียน,"['และ', 'สาขา', 'ดุริยางคศาสตร์', 'เป็นต้น\n']"
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ ยัง,สอน,"['หลักสูตร', 'สาขา']"
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ ยัง,ตอบ,['โจทย์']
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ ยัง,พัฒนาประเทศ,"['ภูมิภาค', 'และ', 'ชุมชน', 'ด้วย']"
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ ยัง,ผลิต,['บัณฑิต']
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ ยัง,มี,"['ทักษะ', 'และ', 'ศักยภาพ', 'ด้าน']"
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ ยัง,ใช้,"['ภาษา', 'สากล']"
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ ยัง,เฉพาะ,"['ภาษา', 'อังกฤษ']"
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ ยัง,ควบคู่,['กับ']
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ ยัง,รู้,"['ทาง', 'วิชาการ', 'สาขา']"
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ ยัง,ต่าง,"['ๆ', 'ทั้ง']"
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ ยัง,สนับสนุน,"['คณาจารย์', 'ผลิตผล', 'งาน', 'ทาง', 'วิชาการ', 'ใน', 'สาขา']"
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ ยัง,เฉพาะ,['ด้าน']
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ ยัง,วิจัย,['และ']
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ ยัง,พัฒนา,"['ประเทศ', 'ทั้ง', 'ใน', 'ระดับ', 'ชุมชน', 'ภูมิภาค', 'และ', 'ระดับ', 'ประเทศ']"
สถาบันวิทยสิริเมธี   ( อังกฤษ :   Vidyasirimedhi Institute   of   Science   and   Technology :   VISTEC )  ,เป็น,"['graduate', 'research', 'intensive', 'university']"
สถาบันวิทยสิริเมธี   ( อังกฤษ :   Vidyasirimedhi Institute   of   Science   and   Technology :   VISTEC )  ,ตั้ง,"['ใน', 'พื้นที่', 'วังจันทร์วัลเลย์', 'ตำบลป่ายุบ', 'ใน', 'อำเภอวังจันทร์', 'จังหวัดระยอง', 'ประเทศไทย']"
ก่อตั้ง ขึ้น เมื่อ ปี   พ.ศ.   2558   โดย,มูลนิธิพลังสร้างสรรค์,"['นวัตกรรม', 'Power', 'of', 'Innovation ', 'Foundation', 'PIN', 'ชื่อ']"
มูลนิธิสถาบันวิทยาศาสตร์และ เทคโนโลยี ระยอง )   ตาม โครงการ,จัดตั้ง,"['สถาบัน', 'อุดมศึกษา', 'และ', 'โรงเรียนวิทยาศาสตร์', 'กลุ่ม', 'ปตท.', 'พื้นที่', 'ภาค', 'ตะวัน', 'ด้วย', 'วิสัยทัศน์']"
มูลนิธิสถาบันวิทยาศาสตร์และ เทคโนโลยี ระยอง )   ตาม โครงการ,สำคัญ,"['ของ', 'ดร.ไพรินทร์ ชูโชติถาวร']"
คน แรก   ที่,มุ่งหวัง,['สถาบัน']
คน แรก   ที่,ติด,"['อันดับ', '1', 'ใน', '50', 'ของ', 'มหาวิทยาลัยวิจัย', 'ชั้น']"
คน แรก   ที่,นำ,"['ระดับ', 'โลก\n', 'ปัจจุบัน', 'VISTEC']"
คน แรก   ที่,มี,"['นายอานันท์ ปันยารชุน', 'ดำรง', 'ตำแหน่ง', 'ประธาน', 'ที่ปรึกษา', 'นโยบาย', 'สถาบันวิทยสิริเมธี']"
โดย,ศึกษา,"['ด้าน', 'วิทยาศาสตร์', 'วิศวกรรมศาสตร์', 'และ', 'เทคโนโลยี']"
โดย,มี,"['ศูนย์วิจัยวิทยาศาสตร์และ', 'เทคโนโลยี', 'ชั้น', 'แนว']"
โดย,หน้า,"['Frontier', 'Research', 'Center']"
โดย,เป็น,"['ศูนย์กลาง', 'ใน']"
โดย,เข้มแข็ง,['ทางการ']
โดย,วิจัย,['และ']
โดย,สนับสนุน,"['ด้าน', 'ทุน']"
โดย,วิจัย,"['แก่', 'สถาบัน']"
โดย,เป็น,['ศูนย์']
โดย,ดำเนิน,"['งาน', 'ด้าน']"
โดย,สร้าง,['นวัตกรรม']
โดย,ร่วมมือ,"['ทาง', 'ด้าน']"
โดย,วิจัย,"['กับ', 'สถาบัน']"
ภาค ธุรกิจ   ภาค อุตสาหกรรม และ หน่วย งาน ด้าน การ,วิจัย,"['วิทยาศาสตร์และ', 'เทคโนโลยี']"
จุฬาลงกรณ์มหาวิทยาลัย   ( อังกฤษ :   Chulalongkorn University ;   อักษร,ย่อ,"['จฬ.', 'หรือ', 'จุฬาฯ', '–', 'CU', 'or', 'Chula']"
จุฬาลงกรณ์มหาวิทยาลัย   ( อังกฤษ :   Chulalongkorn University ;   อักษร,เป็น,"['มหาวิทยาลัย', 'และ', 'สถาบัน', 'อุดมศึกษา', 'แห่ง', 'แรก', 'ของ', 'ประเทศ', 'ไทย']"
จุฬาลงกรณ์มหาวิทยาลัย   ( อังกฤษ :   Chulalongkorn University ;   อักษร,ตั้ง,"['ใน', 'เขตปทุมวัน', 'กรุงเทพมหานคร']"
จุฬาลงกรณ์มหาวิทยาลัย   ( อังกฤษ :   Chulalongkorn University ;   อักษร,กำเนิด,"['จาก', 'โรง']"
จุฬาลงกรณ์มหาวิทยาลัย   ( อังกฤษ :   Chulalongkorn University ;   อักษร,เรียน,"['สำหรับ', 'ฝึกหัด', 'วิชา', 'ข้า', 'ราชการ', 'ฝ่าย', 'พลเรือน', 'พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว', 'โปรดเกล้า']"
จุฬาลงกรณ์มหาวิทยาลัย   ( อังกฤษ :   Chulalongkorn University ;   อักษร,จัดตั้ง,"['วัน', '30', 'มีนาคม', 'พ.ศ.', '2442']"
จุฬาลงกรณ์มหาวิทยาลัย   ( อังกฤษ :   Chulalongkorn University ;   อักษร,มี,['พระเกี้ยว']
จุฬาลงกรณ์มหาวิทยาลัย   ( อังกฤษ :   Chulalongkorn University ;   อักษร,เป็น,['เครื่องหมาย']
จุฬาลงกรณ์มหาวิทยาลัย   ( อังกฤษ :   Chulalongkorn University ;   อักษร,ประจำ,['โรง']
จุฬาลงกรณ์มหาวิทยาลัย   ( อังกฤษ :   Chulalongkorn University ;   อักษร,เรียน,"['พ.ศ.', '2459']"
จุฬาลงกรณ์มหาวิทยาลัย   ( อังกฤษ :   Chulalongkorn University ;   อักษร,นับ,['แบบ']
จุฬาลงกรณ์มหาวิทยาลัย   ( อังกฤษ :   Chulalongkorn University ;   อักษร,เก่า,"['พระบาทสมเด็จพระมงกุฎเกล้าเจ้าอยู่หัว', 'ทรง', 'ประดิษฐาน']"
จุฬาลงกรณ์มหาวิทยาลัย   ( อังกฤษ :   Chulalongkorn University ;   อักษร,เป็น,"['มหาวิทยาลัย', 'และ', 'พระราชทาน', 'นาม', 'จุฬาลงกรณ์มหาวิทยาลัย', 'จุฬาลงกรณ์มหาวิทยาลัย']"
จุฬาลงกรณ์มหาวิทยาลัย   ( อังกฤษ :   Chulalongkorn University ;   อักษร,เป็น,"['มหาวิทยาลัย', 'อันดับ', 'ต้น', 'ๆ', 'ของ', 'ประเทศไทย']"
และ ได้,เป็น,"['มหาวิทยาลัย', 'อันดับ', '1', 'โดย']"
และ ได้,จัด,"['อันดับ', 'สำนัก']"
หนึ่ง ใน มหาวิทยาลัยวิจัยแห่งชาติ ตั้งแต่ ปี   พ.ศ.   2552   และ ได้,รับรอง,['มาตรฐาน']
หนึ่ง ใน มหาวิทยาลัยวิจัยแห่งชาติ ตั้งแต่ ปี   พ.ศ.   2552   และ ได้,ศึกษา,"['ใน', 'ระดับ']"
หนึ่ง ใน มหาวิทยาลัยวิจัยแห่งชาติ ตั้งแต่ ปี   พ.ศ.   2552   และ ได้,ดี,"['จาก', 'สำนัก', 'งานรับรองมาตรฐานและประเมิน', 'คุณภาพการศึกษา', 'สมศ.']"
หนึ่ง ใน มหาวิทยาลัยวิจัยแห่งชาติ ตั้งแต่ ปี   พ.ศ.   2552   และ ได้,เป็น,"['สมาชิก', 'เครือข่าย', 'มหาวิทยาลัยอาเซียน', 'AUN', 'และ']"
หนึ่ง ใน มหาวิทยาลัยวิจัยแห่งชาติ ตั้งแต่ ปี   พ.ศ.   2552   และ ได้,เป็น,['มหาวิทยาลัย']
หนึ่ง ใน มหาวิทยาลัยวิจัยแห่งชาติ ตั้งแต่ ปี   พ.ศ.   2552   และ ได้,เป็น,"['สมาชิก', 'ของ', 'สมาคม', 'มหาวิทยาลัย', 'ภาคพื้น', 'แปซิฟิก', 'APRU', 'ใน', 'ส่วน', 'ของ']"
หนึ่ง ใน มหาวิทยาลัยวิจัยแห่งชาติ ตั้งแต่ ปี   พ.ศ.   2552   และ ได้,รับ,['บุคคล']
หนึ่ง ใน มหาวิทยาลัยวิจัยแห่งชาติ ตั้งแต่ ปี   พ.ศ.   2552   และ ได้,ศึกษา,"['ใน', 'สถาบัน', 'อุดมศึกษา']"
หนึ่ง ใน มหาวิทยาลัยวิจัยแห่งชาติ ตั้งแต่ ปี   พ.ศ.   2552   และ ได้,สมัคร,['สอบ']
หนึ่ง ใน มหาวิทยาลัยวิจัยแห่งชาติ ตั้งแต่ ปี   พ.ศ.   2552   และ ได้,ทำ,['คะแนน']
หนึ่ง ใน มหาวิทยาลัยวิจัยแห่งชาติ ตั้งแต่ ปี   พ.ศ.   2552   และ ได้,สูง,"['ใน', 'ปี', 'ส่วน']"
หนึ่ง ใน มหาวิทยาลัยวิจัยแห่งชาติ ตั้งแต่ ปี   พ.ศ.   2552   และ ได้,ศึกษา,"['ต่อ', 'ใน', 'จุฬาลงกรณ์มหาวิทยาลัย', 'ปัจจุบัน', 'จุฬาลงกรณ์มหาวิทยาลัย']"
หนึ่ง ใน มหาวิทยาลัยวิจัยแห่งชาติ ตั้งแต่ ปี   พ.ศ.   2552   และ ได้,ประกอบ,"['ด้วย', '19', '1', 'สำนักวิชา ']"
หนึ่ง ใน มหาวิทยาลัยวิจัยแห่งชาติ ตั้งแต่ ปี   พ.ศ.   2552   และ ได้,ครอบคลุม,"['สาขา', 'วิทยาศาสตร์และ', 'เทคโนโลยี']"
และ,มี,"['หน่วย', 'งาน', 'วิทยาลัย', '3', 'แห่ง', 'บัณฑิต', 'วิทยาลัย', '1', 'แห่ง', 'สถาบัน', '14', 'แห่ง', 'และ', 'สถาบัน', 'สมทบ', '2', 'สถาบัน', 'จำนวน', 'หลักสูตร']"
และ,รวม,"['506', 'หลักสูตร']"
และ,ประกอบ,"['ด้วย', 'ระดับ', 'ปริญญา', 'ตรี', '113', 'หลักสูตร', 'ระดับ', 'บัณฑิต']"
และ,ศึกษา,"['393', 'หลักสูตร', 'ใน', 'จำนวน']"
และ,เป็น,"['หลักสูตร', 'นานา', 'ชาติ', 'และ', 'หลักสูตร', 'ภาษา', 'อังกฤษ', '87', 'หลักสูตร']"
มหาวิทยาลัยเกษตรศาสตร์   ( อังกฤษ :   Kasetsart University ;   อักษร,ย่อ,"['มก.', '–', 'KU']"
มหาวิทยาลัยเกษตรศาสตร์   ( อังกฤษ :   Kasetsart University ;   อักษร,เป็น,"['มหาวิทยาลัย', 'ของ', 'รัฐ', 'แห่ง', 'แรก', 'ของ', 'ประเทศไทย']"
มหาวิทยาลัยเกษตรศาสตร์   ( อังกฤษ :   Kasetsart University ;   อักษร,สอน,"['หลักสูตร', 'ทาง', 'ด้าน']"
มหาวิทยาลัยเกษตรศาสตร์   ( อังกฤษ :   Kasetsart University ;   อักษร,เป็น,"['ลำดับ', '3', 'ของ', 'ประเทศ']"
แรก,เป็น,['โรงเรียนช่างไหม']
ก่อตั้ง ขึ้น ใน ปี   พ.ศ.   2447   ซึ่ง,เปลี่ยน,['ชื่อ']
ก่อตั้ง ขึ้น ใน ปี   พ.ศ.   2447   ซึ่ง,เป็น,"['โรงเรียน', 'การเพาะปลูก']"
หลัง จาก นั้น,รวม,"['กับ', 'โรงเรียน', 'แผนที่', 'และ', 'โรงเรียนกรมคลอง']"
หลัง จาก นั้น,เป็น,"['โรง', 'เรียนเกษตราธิการ', 'และ']"
หลัง จาก นั้น,รวม,"['กับ', 'โรง']"
หลัง จาก นั้น,เรียน,"['ข้า', 'ราชการ', 'พลเรีอนฯ']"
ใน ปี   พ.ศ.   2456  ,ก่อตั้ง,"['ใน', 'ปี', 'พ.ศ.', '2460', 'ใน', 'นาม', 'โรง']"
ใน ปี   พ.ศ.   2456  ,ฝึกหัด,"['ครู', 'ประถมกสิกรรม']"
ใน ปี   พ.ศ.   2456  ,เปลี่ยน,['ชื่อ']
ใน ปี   พ.ศ.   2456  ,เป็น,['โรง']
ใน ปี   พ.ศ.   2456  ,เรียน,"['มัธยมวิสามัญ', 'เกษตรกรรม', 'และ']"
ใน ปี   พ.ศ.   2456  ,ยก,['ฐานะ']
ใน ปี   พ.ศ.   2456  ,เป็น,"['วิทยาลัยเกษตรศาสตร์', 'ถัด', 'จาก']"
รัฐบาล ได้,ปรับปรุง,['และ']
รัฐบาล ได้,รวม,"['กิจการ', 'ของ', 'วิทยาลัยเกษตรศาสตร์']"
บาง เขน   กับ โรง เรียนวนศาสตร์   จังหวัดแพร่   และ สถาปนา,เป็น,"['มหาวิทยาลัยเกษตรศาสตร์', 'ใน', 'ปี', 'พ.ศ.', '2486', 'ระยะ', 'แรก', 'มหาวิทยาลัยเกษตรศาสตร์']"
บาง เขน   กับ โรง เรียนวนศาสตร์   จังหวัดแพร่   และ สถาปนา,สอน,"['เฉพาะ', 'ด้าน']"
บาง เขน   กับ โรง เรียนวนศาสตร์   จังหวัดแพร่   และ สถาปนา,เกษตร,"['เท่า', 'แต่', 'ต่อ']"
บาง เขน   กับ โรง เรียนวนศาสตร์   จังหวัดแพร่   และ สถาปนา,ขยาย,"['สาขา', 'วิชา']"
บาง เขน   กับ โรง เรียนวนศาสตร์   จังหวัดแพร่   และ สถาปนา,ครอบคลุม,"['เกษตรศาสตร์', 'วิทยาศาสตร์ ', 'วิทยาศาสตร์', 'สุขภาพ', 'วิศวกรรมศาสตร์', 'ศึกษาศาสตร์', 'สังคมศาสตร์', 'มนุษยศาสตร์']"
บาง เขน   กับ โรง เรียนวนศาสตร์   จังหวัดแพร่   และ สถาปนา,บริหาร,"['ธุรกิจ', 'และ', 'งาน']"
ปัจจุบัน   มหาวิทยาลัยเกษตรศาสตร์ อยู่ ภาย ใต้ บังคับ พระราชบัญญัติ มหาวิทยาลัยเกษตรศาสตร์   พ.ศ.   2558   ซึ่ง,มี,['สภาพ']
