Page,Intro,Paragraph Count,Word Counts
ท่าอากาศยานนานาชาตินครศรีธรรมราช,"ท่าอากาศยานนานาชาตินครศรีธรรมราช หรือสนามบินนครศรีธรรมราช (IATA: NST, ICAO: VTSF) เป็นท่าอากาศยานตั้งอยู่ในอำเภอเมือง จังหวัดนครศรีธรรมราช ในสังกัดกรมท่าอากาศยาน กระทรวงคมนาคม ความจุอาคารผู้โดยสาร ขาเข้า 188 คนต่อชั่วโมง และขาออก 125 คนต่อชั่วโมง มีลานจอด โบอิ้ง (Boeing) 737 2 ลาน เอทีอาร์ (ATR) 72 2 ลาน และลานจอดเฮลิคอปเตอร์ 2 ลาน มีเนื้อที่ประมาณ 1,814 ไร่",1,[71]
ท่าอากาศยานน่านนคร,"ท่าอากาศยานน่านนคร หรือ  สนามบินน่าน (อังกฤษ: Nan Nakhon Airport) (IATA: NNT, ICAO: VTCN) เป็นท่าอากาศยานที่ตั้งอยู่ที่ตำบลผาสิงห์  อำเภอเมืองน่าน จังหวัดน่าน ห่างจากตัวเมืองไปทางทิศเหนือประมาณ 3 กิโลเมตร มีพื้นที่ใช้ร่วมกับกองทัพอากาศทั้งหมด  1069  ไร่  1 งาน  24  ตารางวา โดยใช้ในราชการท่าอากาศยานน่านนคร 392 ไร่ 2 งาน 99 ตารางวา เป็นท่าอากาศยานในสังกัดกรมท่าอากาศยาน กระทรวงคมนาคม",1,[75]
ท่าอากาศยานบุรีรัมย์,"ท่าอากาศยานบุรีรัมย์ หรือ สนามบินสตึก (IATA: BFV, ICAO: VTUO) ตั้งอยู่ที่ อำเภอสตึก จังหวัดบุรีรัมย์ ห่างจากเทศบาลเมืองบุรีรัมย์ ประมาณ 34 กิโลเมตร เป็นท่าอากาศยานในสังกัดกรมท่าอากาศยาน กระทรวงคมนาคม ก่อสร้างเสร็จเมื่อปี พ.ศ. 2539 และในปี พ.ศ. 2558 เป็นปีแรกที่มีสายการบินให้บริการถึง 2 สายการบินพร้อมกัน มีทางวิ่งที่สามารถรองรับเครื่องบินขนาด แอร์บัส เอ320 ได้ โดยมีอาคารผู้โดยสารขนาด 4,148 ตารางเมตร สามารถรองรับผู้โดยสารได้ 550 คนต่อชั่วโมง และมีบริการรถเช่า",1,[85]
ท่าอากาศยานพิษณุโลก,"ท่าอากาศยานพิษณุโลก (IATA: PHS, ICAO: VTPP) ตั้งอยู่ที่ อำเภอเมืองพิษณุโลก จังหวัดพิษณุโลก ห่างจากตัวเมือง 3 กิโลเมตร เป็นท่าอากาศยานในสังกัดกรมท่าอากาศยาน กระทรวงคมนาคม และได้ประกาศเป็นท่าอากาศยานศุลกากรเมื่อวันที่ 1 กันยายน พ.ศ. 2534 เดิมเป็นสนามบินของกองบินที่ 46 กองทัพอากาศ ก่อตั้งเมื่อปี พ.ศ. 2484 เป็นสนามบินขับไล่และทิ้งระเบิด",1,[60]
ท่าอากาศยานแพร่,"ท่าอากาศยานแพร่ หรือ สนามบินแพร่ (อังกฤษ: Phrae Airport) (IATA: PRH, ICAO: VTCP) ตั้งอยู่ที่ 72 หมู่ที่ 5 ถนนช่อแฮ ตำบลนาจักร อำเภอเมืองแพร่ จังหวัดแพร่ ห่างจากตัวเมืองไปทางทิศตะวันออกเฉียงใต้ประมาณ 3 กิโลเมตร เป็นท่าอากาศยานในสังกัดกรมท่าอากาศยาน กระทรวงคมนาคม",1,[52]
ท่าอากาศยานแม่ฮ่องสอน,"ท่าอากาศยานแม่ฮ่องสอน (IATA: HGN, ICAO: VTCH) ตั้งอยู่ที่ถนนนิเวศพิศาล ตำบลจองคำ อำเภอเมือง จังหวัดแม่ฮ่องสอน เป็นท่าอากาศยานในสังกัดกรมท่าอากาศยาน กระทรวงคมนาคม และได้ประกาศเป็นท่าอากาศยานศุลกากรเมื่อวันที่ 29 ธันวาคม พ.ศ. 2542 มีอาคารผู้โดยสารอยู่ 1 หลัง รองรับผู้โดยสารได้ 840,000 คนต่อปี รองรับเครื่องบินแบบ เอทีอาร์ 72 ได้ 4 ลำ ทางวิ่งใช้พื้นผิวแอสฟัลติกคอนกรีต ขนาดกว้าง 30 เมตร ยาว 2,000 เมตร ในปี พ.ศ. 2563 มีสถิติจำนวนผู้โดยสารที่มาใช้บริการ จำนวน 17,768 คน",1,[93]
ท่าอากาศยานนานาชาติเบตง,"ท่าอากาศยานนานาชาติเบตง (อังกฤษ: Betong International Airport) เป็นท่าอากาศยานแห่งที่ 29 ของกรมท่าอากาศยาน และเป็นแห่งที่ 39 ในประเทศไทย ตั้งอยู่เลขที่ 125 หมู่ที่ 8 ตำบลยะรม อำเภอเบตง จังหวัดยะลา อยู่ห่างจากตัวเมืองเบตงไปทางทิศตะวันออกเฉียงเหนือ ประมาณ 10 กิโลเมตร มีขนาดพื้นที่ 920 ไร่ ทางวิ่งสามารถรองรับเครื่องบินขนาด 80 ที่นั่ง อาคารที่พักผู้โดยสารสามารถรองรับผู้โดยสารได้ 300 คนต่อชั่วโมง หรือ 800,000 คนต่อปีท่าอากาศยานนานาชาติเบตงเริ่มการก่อสร้างเมื่อวันที่ 8 ธันวาคม พ.ศ. 2560 ก่อสร้างแล้วเสร็จในต้นปี พ.ศ. 2563 และได้เปิดใช้งานสำหรับเที่ยวบินทางราชการ และเที่ยวบินส่วนบุคคลมาอย่างต่อเนื่อง ได้รับใบรับรองการดำเนินงานสนามบินสาธารณะเมื่อวันที่ 28 มกราคม พ.ศ. 2565 มีเที่ยวบินปฐมฤกษ์ในรูปแบบเช่าเหมาลำเพื่อทดลองเที่ยวบินพาณิชย์เมื่อวันที่ 29 มกราคม พ.ศ. 2565 และได้เปิดให้บริการอย่างเป็นทางการวันที่ 14 มีนาคม พ.ศ. 2565 พร้อมกับเที่ยวบินเชิงพาณิชย์แบบประจำเที่ยวบินแรก",1,[156]
ท่าอากาศยานร้อยเอ็ด,"ท่าอากาศยานร้อยเอ็ด หรือ สนามบินร้อยเอ็ด (อังกฤษ: Roi Et Airport) ตั้งอยู่เลขที่ 135 หมู่ 2 ถนนร้อยเอ็ด-โพนทอง (ทางหลวงหมายเลข 2044) ตำบลหนองพอก อำเภอธวัชบุรี จังหวัดร้อยเอ็ด ห่างจากตัวเมืองประมาณ 11 กิโลเมตร เป็นท่าอากาศยานในสังกัดกรมท่าอากาศยาน กระทรวงคมนาคม ประกอบด้วยอาคารที่พักผู้โดยสารขนาด 3,013 ตารางเมตร ประตูผู้โดยสารขาเข้าและขาออกอยู่ชั้นเดียวกัน  ทางวิ่ง (รันเวย์) 45 x 2,100 เมตร ลานจอดเครื่องบินขนาด 85 x 324 เมตร ซึ่งรองรับเครื่องบินขนาดโบอิ้ง 737 ได้ 2 เครื่อง หรือเครื่องบินขนาดเล็ก ATR 72- ได้ 2 เครื่อง หรือ เฮลิคอปเตอร์ 4 เครื่อง เป็นท่าอากาศยานที่ให้บริการประชาชนในพื้นที่จังหวัดร้อยเอ็ด กาฬสินธุ์ มหาสารคาม ยโสธร และมุกดาหาร  
ในปี พ.ศ. 2558 มีสายการบินที่ให้บริการ 2 สายการบิน คือ สายการบินนกแอร์ ให้บริการวันละ 3 เที่ยวบิน (ช่วงเช้า ช่วงกลางวัน และช่วงดึก) และสายการบินไทยแอร์เอเชีย ได้เปิดเที่ยวบินดอนเมือง-ร้อยเอ็ด ในวันที่ 9 กุมภาพันธ์ พ.ศ. 2558 โดยใช้เครื่องบินแอร์บัส เอ 320 ความจุ 180 ที่นั่ง มาทำการบินช่วงเช้าและในช่วงเย็น และในปีเดียวกันนั้นเอง สนามบินร้อยเอ็ดเป็นท่าอากาศยานที่เติบโตมากเป็นอันดับ 3 ของประเทศไทย มียอดผู้โดยสารรวม 284,667 คน เพิ่มขึ้นจากปีที่แล้ว 307%",2,"[114, 94]"
ท่าอากาศยานเลย,"ท่าอากาศยานเลย หรือ สนามบินเลย (IATA: LOE, ICAO: VTUL) ตั้งอยู่ที่ อำเภอเมืองเลย จังหวัดเลย ตั้งอยู่ทางทิศใต้ของตัวจังหวัด ห่างจากตัวเมืองประมาณ 5 กิโลเมตร มีพื้นที่ประมาณ 1,429 ไร่ บริเวณโดยรอบเกือบทุกทิศทางจะมีภูเขาเตี้ยๆ ล้อมรอบ มีระดับความสูงตั้งแต่ 600-2,000 ฟุต เป็นท่าอากาศยานในสังกัดกรมท่าอากาศยาน กระทรวงคมนาคม และได้ประกาศเป็นท่าอากาศยานศุลกากรเมื่อวันที่ 17 มกราคม พ.ศ. 2560",1,[72]
ท่าอากาศยานสกลนคร,"ท่าอากาศยานสกลนคร หรือ สนามบินสกลนคร (อังกฤษ: Sakon Nakhon Airport) (IATA: SNO, ICAO: VTUI) ตั้งอยู่ที่ อำเภอเมืองสกลนคร จังหวัดสกลนคร เป็นท่าอากาศยานในสังกัดกรมท่าอากาศยาน กระทรวงคมนาคม โดยมีอาคารผู้โดยสารเป็นอาคาร 2 ชั้น มีขนาดพื้นที่รวม 5,455 ตารางเมตร สามารถรองรับอากาศยานขนาด แอร์บัส เอ320 หรือ โบอิง 737",1,[59]
ท่าอากาศยานนานาชาติสุราษฎร์ธานี,"ท่าอากาศยานนานาชาติสุราษฎร์ธานี (IATA: URT, ICAO: VTSB) ตั้งอยู่ในตำบลหัวเตย อำเภอพุนพิน จังหวัดสุราษฎร์ธานี ห่างจากบ้านดอนประมาณ 26 กิโลเมตร โดยใช้พื้นที่ร่วมกับกองทัพอากาศ (กองบิน 7 สุราษฎร์ธานี) ซึ่งเป็นท่าอากาศยานในสังกัดกรมท่าอากาศยาน กระทรวงคมนาคม และได้ประกาศท่าอากาศยานศุลกากรเมื่อวันที่ 1 กันยายน พ.ศ. 2534",1,[57]
ท่าอากาศยานนานาชาติอุดรธานี,"ท่าอากาศยานนานาชาติอุดรธานี หรือ สนามบินอุดรธานี (อังกฤษ: Udon Thani International Airport) (IATA: UTH, ICAO: VTUD) ตั้งอยู่ในตัวเมืองของ ตำบลหมากแข้ง อำเภอเมืองอุดรธานี จังหวัดอุดรธานี โดยตั้งอยู่ในเขตทหารกองทัพอากาศ (กองบิน 23 อุดรธานี) ซึ่งท่าอากาศยานนานาชาติอุดรธานีเป็นท่าอากาศยานในสังกัดกรมท่าอากาศยาน กระทรวงคมนาคม และได้ประกาศท่าอากาศยานศุลกากรเมื่อวันที่ 12 ตุลาคม พ.ศ. 2497 ท่าอากาศยานนานาชาติอุดรธานีได้รับการปรับปรุง สร้างอาคารผู้โดยสารเพิ่มขึ้นอีก และเชื่อมต่อกับตัวอาคารเดิมโดยได้รับงบประมาณจากรัฐบาลในการปรับปรุง สร้างแล้วเสร็จเมื่อ พ.ศ. 2558
ท่าอากาศยานนานาชาติอุดรธานี เป็นศูนย์กลางการบินของภาคอีสาน ซึ่งมีความสำคัญในเชิงยุทธศาสตร์ของภูมิภาคเนื่องจากอุดรธานีตั้งอยู่ใกล้เขตเศรษฐกิจพิเศษอย่าง จังหวัดหนองคาย และตั้งอยู่ใกล้เมืองหลวงของ สปป.ลาว อย่าง นครหลวงเวียงจันทน์ ประเทศลาว ห่างเพียง 50 กิโลเมตร ท่าอากาศยานนานาชาติอุดรธานี จึงเป็นส่วนสำคัญของยุทธศาสตร์การพัฒนาเศรษฐกิจชายแดนของประเทศไทย",2,"[94, 57]"
