Subject,Verb,Objects
สถาบันเทคโนโลยีไทย-ญี่ปุ่น   ( ส.ท.ญ. )    ,จัด,"['อบรม', 'ด้าน', 'เทคโนโลยี']"
การ,บริการ,['สอบ']
การ,เทียบ,['เครื่องมือ']
การ,วัด,['อุตสาหกรรม']
การ,วิเคราะห์,['สิ่ง']
การ,สอน,"['ภาษา', 'ประเทศ']"
การ,พิมพ์,"['หนังสือ', 'วารสาร', 'ด้าน', 'เทคโนโลยี']"
การ,จัดการ,['ๆ']
การ,ให้,['คำ']
การ,ปรึกษา,['สถาน']
การ,ประกอบ,"['ภาค', 'อุตสาหกรรม']"
วิทยาลัยเทคโนโลยีพนมวันท์   ( Phanomwan  College   of   Technology )  ,เป็น,"['สถาบัน', 'อุดมศึกษา', 'เอกชน', 'ประเทศไทย']"
วิทยาลัยเทคโนโลยีพนมวันท์   ( Phanomwan  College   of   Technology )  ,ตั้ง,"['ถนนมิตรภาพ', 'ตำบลบ้านโพธิ์', 'อำเภอเมืองนครราชสีมา']"
จังหวัดนครราชสีมา  ,ก่อตั้ง,"['วัน', 'พฤศจิกายน', 'พ.ศ.', '2550', 'ปัจจุบัน']"
ดร.พิสิษฐ์ ศิริรักษ์  ,เป็น,"['อธิการบดี', 'ศาสตราจารยดร.บุญทัน']"
ดอก ไธสง  ,เป็น,"['นายก', 'สภาวิทยาลัย']"
สถาบันการเรียนรู้เพื่อปวงชน   หรือ   มหาวิทยาลัย ชีวิต   ( อังกฤษ :   Learning   Institute   For   Everyone   -   LIFE )  ,เป็น,"['สถาบัน', 'อุดมศึกษา', 'เอกชน', 'ประเทศไทย']"
สถาบันการเรียนรู้เพื่อปวงชน   หรือ   มหาวิทยาลัย ชีวิต   ( อังกฤษ :   Learning   Institute   For   Everyone   -   LIFE )  ,มี,"['สำนัก', 'งาน', 'สถาบัน']"
สถาบันการเรียนรู้เพื่อปวงชน   หรือ   มหาวิทยาลัย ชีวิต   ( อังกฤษ :   Learning   Institute   For   Everyone   -   LIFE )  ,ตั้ง,"['บางคน', 'ที']"
จังหวัดสมุทรสงคราม   ได้,อนุญาต,"['กระทรวงศึกษาธิการ', 'วัน', 'สิงหาคม', 'พ.ศ.', '2553']"
จังหวัดสมุทรสงคราม   ได้,สอน,"['ระดับ', 'ปริญญา', 'ตรี', 'ระดับ', 'ปริญญา', 'โท']"
ปัจจุบัน สถาบัน ได้,เปิด,['ศูนย์']
ปัจจุบัน สถาบัน ได้,ปวง,"['ชน', 'ภาค']"
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ   ( อังกฤษ :   Suvarnabhumi Institute   Of   Technology )    ,เป็น,"['สถาบัน', 'อุดมศึกษา', 'โรง']"
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ   ( อังกฤษ :   Suvarnabhumi Institute   Of   Technology )    ,เรียน,"['เครือ', 'สารสาสน์']"
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ   ( อังกฤษ :   Suvarnabhumi Institute   Of   Technology )    ,เป็น,['โรง']
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ   ( อังกฤษ :   Suvarnabhumi Institute   Of   Technology )    ,เรียน,['ภาษา']
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ   ( อังกฤษ :   Suvarnabhumi Institute   Of   Technology )    ,อยู่,"['แถว', 'หน้า']"
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ   ( อังกฤษ :   Suvarnabhumi Institute   Of   Technology )    ,ผลิต,['นัก']
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ   ( อังกฤษ :   Suvarnabhumi Institute   Of   Technology )    ,มี,"['ศักยภาพ', 'ด้าน']"
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ   ( อังกฤษ :   Suvarnabhumi Institute   Of   Technology )    ,ใช้,"['ภาษา', 'ประเทศ']"
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ   ( อังกฤษ :   Suvarnabhumi Institute   Of   Technology )    ,เฉพาะ,"['ภาษา', 'อังกฤษ']"
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ   ( อังกฤษ :   Suvarnabhumi Institute   Of   Technology )    ,รู้,"['ทาง', 'วิชาการ', 'สาขา', 'ปี', 'พ.ศ.', '2507', 'ปัจจุบัน']"
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ   ( อังกฤษ :   Suvarnabhumi Institute   Of   Technology )    ,ขยาย,"['โอกาส', 'ทาง']"
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ   ( อังกฤษ :   Suvarnabhumi Institute   Of   Technology )    ,ศึกษา,"['ระดับ', 'อุดมศึกษา']"
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ   ( อังกฤษ :   Suvarnabhumi Institute   Of   Technology )    ,คือ,"['“', 'สถาบันเทคโนโลยีแห่งสุวรรณภูมิ', '”', 'SUVARNABHUMI', 'INSTITUTE', ' OF', 'TECHNOLOGY']"
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ   ( อังกฤษ :   Suvarnabhumi Institute   Of   Technology )    ,เป็น,"['สถาบัน', 'อุดมศึกษา', 'เอกชน', 'ประเทศไทย']"
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ   ( อังกฤษ :   Suvarnabhumi Institute   Of   Technology )    ,ตั้ง,['ตำบลบางพลี']
จังหวัดสมุทรปราการ  ,ก่อตั้ง,"['ปี', 'พ.ศ.', '2558']"
จังหวัดสมุทรปราการ  ,เป็น,"['สถาบัน', 'อุดมศึกษา', 'เอกชน', 'จังหวัดสมุทรปราการ']"
ดร.สุทธิพงศ์ ยงค์กมล  ,เป็น,"['นายก', 'สภาสถาบัน']"
ดร.สุทธิพงศ์ ยงค์กมล  ,เป็น,"['อธิการบดี', 'ปณิธาน']"
ดร.สุทธิพงศ์ ยงค์กมล  ,จัด,"['การเรียนการสอน', 'ภาษา', 'อังกฤษ']"
ดร.สุทธิพงศ์ ยงค์กมล  ,รู้,"['วิชาการ', 'สาขา']"
ดร.สุทธิพงศ์ ยงค์กมล  ,มี,['คุณภาพ']
ดร.สุทธิพงศ์ ยงค์กมล  ,เสริม,"['จุด', 'แข็ง', 'นัก']"
ดร.สุทธิพงศ์ ยงค์กมล  ,ศึกษา,"['“', 'สถาบันเทคโนโลยีแห่งสุวรรณภูมิ', '”', 'คู่']"
ดร.สุทธิพงศ์ ยงค์กมล  ,ขนาน,['ทักษะ']
ดร.สุทธิพงศ์ ยงค์กมล  ,เฉพาะ,"['ทาง', 'เทคโนโลยี', 'และนวัตกรรม']"
ดร.สุทธิพงศ์ ยงค์กมล  ,รวม,"['ทักษะ', 'ทาง', 'วิชาชีพ', 'สาขา', 'วิชา']"
ดร.สุทธิพงศ์ ยงค์กมล  ,สร้าง,"['อัตลักษณ์', 'สถาน']"
ดร.สุทธิพงศ์ ยงค์กมล  ,โดดเด่น,['เรื่อง']
ดร.สุทธิพงศ์ ยงค์กมล  ,รู้,"['ทาง', 'วิชาการ', 'วิชา', 'ชีพ']"
ดร.สุทธิพงศ์ ยงค์กมล  ,เป็น,['รากฐาน']
ดร.สุทธิพงศ์ ยงค์กมล  ,สร้าง,['คุณค่า']
ดร.สุทธิพงศ์ ยงค์กมล  ,มูลค่า,['นัก']
ดร.สุทธิพงศ์ ยงค์กมล  ,ศึกษา,"['สถาบันเทคโนโลยีแห่งสุวรรณภูมิ', ' \n', 'ปัจจุบัน', 'สถาบันเทคโนโลยีแห่งสุวรรณภูมิ']"
ดร.สุทธิพงศ์ ยงค์กมล  ,สอน,['หลักสูตร']
ดร.สุทธิพงศ์ ยงค์กมล  ,คือ,"['กลุ่ม', 'หลักสูตร', 'ระดับ', 'ปริญญา', 'ตรี']"
ดร.สุทธิพงศ์ ยงค์กมล  ,ประกอบ,"['หลักสูตร', 'วิศวกรรมศาสตรบัณฑิต', 'สาขา']"
ดร.สุทธิพงศ์ ยงค์กมล  ,ปลอด,"['ภัย', 'หลักสูตร', 'บริหารธุรกิจบัณฑิต']"
ดร.สุทธิพงศ์ ยงค์กมล  ,บริหาร,"['ธุรกิจ', 'บัณฑิต', 'หลักสูตร']"
ดร.สุทธิพงศ์ ยงค์กมล  ,นานา,"['ชาติ', 'หลักสูตร', 'บัญชี', 'บัณฑิต', 'รัฐประศาสนศาสตรบัณฑิต']"
ส่วน หลักสูตร ปริญญา โท  ,บริหาร,"['ธุรกิจ', 'มหาบัณฑิต', 'รัฐประศาสนศาสตรมหาบัณฑิต', 'ศึกษาศาสตรมหาบัณฑิต']"
นอก จาก นี้ ยัง,มี,['แผนที่']
นอก จาก นี้ ยัง,ขยาย,"['พื้นที่', 'วิทยา', 'เขตพระราม 2', 'จังหวัดสมุทรสาคร']"
นอก จาก นี้ ยัง,สอน,"['สาขา', 'สาขา', 'อุตสาหกรรม']"
นอก จาก นี้ ยัง,แปร,"['รูป', 'อาหาร', 'สาขา', 'วิศวกรรม', 'โลจิสติกส์']"
นอก จาก นี้ ยัง,จัดการ,"['ห่วง', 'โซ่', 'อุปทาน', 'สาขา']"
นอก จาก นี้ ยัง,ศึกษา,"['ปฐมวัย', 'สาขา', 'หลักสูตร']"
นอก จาก นี้ ยัง,เรียนรู้,"['สาขา', 'ดุริยางคศาสตร์', 'เป็นต้น\n']"
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ ยัง,สอน,"['หลักสูตร', 'สาขา']"
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ ยัง,ตอบ,['โจทย์']
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ ยัง,พัฒนาประเทศ,"['ภูมิภาค', 'ชุมชน']"
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ ยัง,ผลิต,['บัณฑิต']
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ ยัง,มี,"['ทักษะ', 'ศักยภาพ', 'ด้าน']"
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ ยัง,ใช้,"['ภาษา', 'สากล']"
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ ยัง,เฉพาะ,"['ภาษา', 'อังกฤษ']"
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ ยัง,รู้,"['ทาง', 'วิชาการ', 'สาขา']"
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ ยัง,ต่าง,['ๆ']
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ ยัง,สนับสนุน,"['คณาจารย์', 'ผลิตผล', 'งาน', 'ทาง', 'วิชาการ', 'สาขา']"
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ ยัง,เฉพาะ,['ด้าน']
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ ยัง,พัฒนา,"['ประเทศ', 'ระดับ', 'ชุมชน', 'ภูมิภาค', 'ระดับ', 'ประเทศ']"
สถาบันวิทยสิริเมธี   ( อังกฤษ :   Vidyasirimedhi Institute   of   Science   and   Technology :   VISTEC )  ,เป็น,"['graduate', 'research', 'intensive', 'university']"
สถาบันวิทยสิริเมธี   ( อังกฤษ :   Vidyasirimedhi Institute   of   Science   and   Technology :   VISTEC )  ,ตั้ง,"['พื้นที่', 'วังจันทร์วัลเลย์', 'ตำบลป่ายุบ', 'อำเภอวังจันทร์', 'จังหวัดระยอง', 'ประเทศไทย']"
ก่อตั้ง ขึ้น เมื่อ ปี   พ.ศ.   2558   โดย,มูลนิธิพลังสร้างสรรค์,"['นวัตกรรม', 'Power', 'of', 'Innovation ', 'Foundation', 'PIN', 'ชื่อ']"
มูลนิธิสถาบันวิทยาศาสตร์และ เทคโนโลยี ระยอง )   ตาม โครงการ,จัดตั้ง,"['สถาบัน', 'อุดมศึกษา', 'โรงเรียนวิทยาศาสตร์', 'กลุ่ม', 'ปตท.', 'พื้นที่', 'ภาค', 'ตะวัน', 'วิสัยทัศน์']"
มูลนิธิสถาบันวิทยาศาสตร์และ เทคโนโลยี ระยอง )   ตาม โครงการ,สำคัญ,['ดร.ไพรินทร์ ชูโชติถาวร']
คน แรก   ที่,มุ่งหวัง,['สถาบัน']
คน แรก   ที่,ติด,"['อันดับ', '1', 'มหาวิทยาลัยวิจัย', 'ชั้น']"
คน แรก   ที่,นำ,"['ระดับ', 'โลก\n', 'ปัจจุบัน', 'VISTEC']"
คน แรก   ที่,มี,"['นายอานันท์ ปันยารชุน', 'ดำรง', 'ตำแหน่ง', 'ประธาน', 'ที่ปรึกษา', 'นโยบาย', 'สถาบันวิทยสิริเมธี']"
โดย,ศึกษา,"['ด้าน', 'วิทยาศาสตร์', 'วิศวกรรมศาสตร์', 'เทคโนโลยี']"
โดย,มี,"['ศูนย์วิจัยวิทยาศาสตร์และ', 'เทคโนโลยี', 'ชั้น', 'แนว']"
โดย,หน้า,"['Frontier', 'Research', 'Center']"
โดย,เป็น,['ศูนย์กลาง']
โดย,เข้มแข็ง,['ทางการ']
โดย,สนับสนุน,"['ด้าน', 'ทุน']"
โดย,วิจัย,['สถาบัน']
โดย,ดำเนิน,"['งาน', 'ด้าน']"
โดย,สร้าง,['นวัตกรรม']
โดย,ร่วมมือ,['ด้าน']
โดย,วิจัย,['สถาบัน']
ภาค ธุรกิจ   ภาค อุตสาหกรรม และ หน่วย งาน ด้าน การ,วิจัย,"['วิทยาศาสตร์และ', 'เทคโนโลยี']"
จุฬาลงกรณ์มหาวิทยาลัย   ( อังกฤษ :   Chulalongkorn University ;   อักษร,ย่อ,"['จฬ.', 'จุฬาฯ', '–', 'CU', 'or', 'Chula']"
จุฬาลงกรณ์มหาวิทยาลัย   ( อังกฤษ :   Chulalongkorn University ;   อักษร,เป็น,"['มหาวิทยาลัย', 'สถาบัน', 'อุดมศึกษา', 'ประเทศ', 'ไทย']"
จุฬาลงกรณ์มหาวิทยาลัย   ( อังกฤษ :   Chulalongkorn University ;   อักษร,ตั้ง,"['เขตปทุมวัน', 'กรุงเทพมหานคร']"
จุฬาลงกรณ์มหาวิทยาลัย   ( อังกฤษ :   Chulalongkorn University ;   อักษร,กำเนิด,['โรง']
จุฬาลงกรณ์มหาวิทยาลัย   ( อังกฤษ :   Chulalongkorn University ;   อักษร,เรียน,"['ฝึกหัด', 'วิชา', 'ข้า', 'ราชการ', 'ฝ่าย', 'พลเรือน', 'พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว', 'โปรดเกล้า']"
จุฬาลงกรณ์มหาวิทยาลัย   ( อังกฤษ :   Chulalongkorn University ;   อักษร,จัดตั้ง,"['วัน', 'มีนาคม', 'พ.ศ.', '2442']"
จุฬาลงกรณ์มหาวิทยาลัย   ( อังกฤษ :   Chulalongkorn University ;   อักษร,มี,['พระเกี้ยว']
จุฬาลงกรณ์มหาวิทยาลัย   ( อังกฤษ :   Chulalongkorn University ;   อักษร,เป็น,['เครื่องหมาย']
จุฬาลงกรณ์มหาวิทยาลัย   ( อังกฤษ :   Chulalongkorn University ;   อักษร,ประจำ,['โรง']
จุฬาลงกรณ์มหาวิทยาลัย   ( อังกฤษ :   Chulalongkorn University ;   อักษร,เรียน,"['พ.ศ.', '2459']"
จุฬาลงกรณ์มหาวิทยาลัย   ( อังกฤษ :   Chulalongkorn University ;   อักษร,นับ,['แบบ']
จุฬาลงกรณ์มหาวิทยาลัย   ( อังกฤษ :   Chulalongkorn University ;   อักษร,เก่า,"['พระบาทสมเด็จพระมงกุฎเกล้าเจ้าอยู่หัว', 'ทรง', 'ประดิษฐาน']"
จุฬาลงกรณ์มหาวิทยาลัย   ( อังกฤษ :   Chulalongkorn University ;   อักษร,เป็น,"['มหาวิทยาลัย', 'พระราชทาน', 'นาม', 'จุฬาลงกรณ์มหาวิทยาลัย', 'จุฬาลงกรณ์มหาวิทยาลัย']"
จุฬาลงกรณ์มหาวิทยาลัย   ( อังกฤษ :   Chulalongkorn University ;   อักษร,เป็น,"['มหาวิทยาลัย', 'อันดับ', 'ๆ', 'ประเทศไทย']"
และ ได้,เป็น,"['มหาวิทยาลัย', 'อันดับ']"
และ ได้,จัด,['อันดับ']
หนึ่ง ใน มหาวิทยาลัยวิจัยแห่งชาติ ตั้งแต่ ปี   พ.ศ.   2552   และ ได้,รับรอง,['มาตรฐาน']
หนึ่ง ใน มหาวิทยาลัยวิจัยแห่งชาติ ตั้งแต่ ปี   พ.ศ.   2552   และ ได้,ศึกษา,['ระดับ']
หนึ่ง ใน มหาวิทยาลัยวิจัยแห่งชาติ ตั้งแต่ ปี   พ.ศ.   2552   และ ได้,ดี,"['สำนัก', 'งานรับรองมาตรฐานและประเมิน', 'คุณภาพการศึกษา', 'สมศ.']"
หนึ่ง ใน มหาวิทยาลัยวิจัยแห่งชาติ ตั้งแต่ ปี   พ.ศ.   2552   และ ได้,เป็น,"['สมาชิก', 'เครือข่าย', 'มหาวิทยาลัยอาเซียน', 'AUN']"
หนึ่ง ใน มหาวิทยาลัยวิจัยแห่งชาติ ตั้งแต่ ปี   พ.ศ.   2552   และ ได้,เป็น,['มหาวิทยาลัย']
หนึ่ง ใน มหาวิทยาลัยวิจัยแห่งชาติ ตั้งแต่ ปี   พ.ศ.   2552   และ ได้,เป็น,"['สมาชิก', 'สมาคม', 'มหาวิทยาลัย', 'ภาคพื้น', 'แปซิฟิก', 'APRU', 'ส่วน']"
หนึ่ง ใน มหาวิทยาลัยวิจัยแห่งชาติ ตั้งแต่ ปี   พ.ศ.   2552   และ ได้,รับ,['บุคคล']
หนึ่ง ใน มหาวิทยาลัยวิจัยแห่งชาติ ตั้งแต่ ปี   พ.ศ.   2552   และ ได้,ศึกษา,"['สถาบัน', 'อุดมศึกษา']"
หนึ่ง ใน มหาวิทยาลัยวิจัยแห่งชาติ ตั้งแต่ ปี   พ.ศ.   2552   และ ได้,สมัคร,['สอบ']
หนึ่ง ใน มหาวิทยาลัยวิจัยแห่งชาติ ตั้งแต่ ปี   พ.ศ.   2552   และ ได้,ทำ,['คะแนน']
หนึ่ง ใน มหาวิทยาลัยวิจัยแห่งชาติ ตั้งแต่ ปี   พ.ศ.   2552   และ ได้,ศึกษา,"['จุฬาลงกรณ์มหาวิทยาลัย', 'ปัจจุบัน', 'จุฬาลงกรณ์มหาวิทยาลัย']"
หนึ่ง ใน มหาวิทยาลัยวิจัยแห่งชาติ ตั้งแต่ ปี   พ.ศ.   2552   และ ได้,ครอบคลุม,"['สาขา', 'วิทยาศาสตร์และ', 'เทคโนโลยี']"
และ,มี,"['หน่วย', 'งาน', 'วิทยาลัย', 'บัณฑิต', 'วิทยาลัย', 'สถาบัน', 'สถาบัน', 'สมทบ', 'จำนวน', 'หลักสูตร']"
และ,ประกอบ,"['ระดับ', 'ปริญญา', 'ตรี', 'ระดับ', 'บัณฑิต']"
และ,ศึกษา,['จำนวน']
และ,เป็น,"['หลักสูตร', 'ชาติ', 'หลักสูตร', 'ภาษา', 'อังกฤษ']"
มหาวิทยาลัยเกษตรศาสตร์   ( อังกฤษ :   Kasetsart University ;   อักษร,ย่อ,"['มก.', '–', 'KU']"
มหาวิทยาลัยเกษตรศาสตร์   ( อังกฤษ :   Kasetsart University ;   อักษร,เป็น,"['มหาวิทยาลัย', 'รัฐ', 'ประเทศไทย']"
มหาวิทยาลัยเกษตรศาสตร์   ( อังกฤษ :   Kasetsart University ;   อักษร,สอน,"['หลักสูตร', 'ด้าน']"
มหาวิทยาลัยเกษตรศาสตร์   ( อังกฤษ :   Kasetsart University ;   อักษร,เป็น,"['ลำดับ', 'ประเทศ']"
แรก,เป็น,['โรงเรียนช่างไหม']
ก่อตั้ง ขึ้น ใน ปี   พ.ศ.   2447   ซึ่ง,เปลี่ยน,['ชื่อ']
ก่อตั้ง ขึ้น ใน ปี   พ.ศ.   2447   ซึ่ง,เป็น,"['โรงเรียน', 'การเพาะปลูก']"
หลัง จาก นั้น,รวม,"['โรงเรียน', 'แผนที่', 'โรงเรียนกรมคลอง']"
หลัง จาก นั้น,เป็น,"['โรง', 'เรียนเกษตราธิการ']"
หลัง จาก นั้น,รวม,['โรง']
หลัง จาก นั้น,เรียน,"['ข้า', 'ราชการ', 'พลเรีอนฯ']"
ใน ปี   พ.ศ.   2456  ,ก่อตั้ง,"['ปี', 'พ.ศ.', '2460', 'นาม', 'โรง']"
ใน ปี   พ.ศ.   2456  ,ฝึกหัด,"['ครู', 'ประถมกสิกรรม']"
ใน ปี   พ.ศ.   2456  ,เปลี่ยน,['ชื่อ']
ใน ปี   พ.ศ.   2456  ,เป็น,['โรง']
ใน ปี   พ.ศ.   2456  ,เรียน,"['มัธยมวิสามัญ', 'เกษตรกรรม']"
ใน ปี   พ.ศ.   2456  ,ยก,['ฐานะ']
ใน ปี   พ.ศ.   2456  ,เป็น,"['วิทยาลัยเกษตรศาสตร์', 'ถัด']"
รัฐบาล ได้,รวม,"['กิจการ', 'วิทยาลัยเกษตรศาสตร์']"
บาง เขน   กับ โรง เรียนวนศาสตร์   จังหวัดแพร่   และ สถาปนา,เป็น,"['มหาวิทยาลัยเกษตรศาสตร์', 'ปี', 'พ.ศ.', '2486', 'ระยะ', 'มหาวิทยาลัยเกษตรศาสตร์']"
บาง เขน   กับ โรง เรียนวนศาสตร์   จังหวัดแพร่   และ สถาปนา,สอน,['ด้าน']
บาง เขน   กับ โรง เรียนวนศาสตร์   จังหวัดแพร่   และ สถาปนา,เกษตร,['เท่า']
บาง เขน   กับ โรง เรียนวนศาสตร์   จังหวัดแพร่   และ สถาปนา,ขยาย,"['สาขา', 'วิชา']"
บาง เขน   กับ โรง เรียนวนศาสตร์   จังหวัดแพร่   และ สถาปนา,ครอบคลุม,"['เกษตรศาสตร์', 'วิทยาศาสตร์ ', 'วิทยาศาสตร์', 'สุขภาพ', 'วิศวกรรมศาสตร์', 'ศึกษาศาสตร์', 'สังคมศาสตร์', 'มนุษยศาสตร์']"
บาง เขน   กับ โรง เรียนวนศาสตร์   จังหวัดแพร่   และ สถาปนา,บริหาร,"['ธุรกิจ', 'งาน']"
ปัจจุบัน   มหาวิทยาลัยเกษตรศาสตร์ อยู่ ภาย ใต้ บังคับ พระราชบัญญัติ มหาวิทยาลัยเกษตรศาสตร์   พ.ศ.   2558   ซึ่ง,มี,['สภาพ']
ปัจจุบัน   มหาวิทยาลัยเกษตรศาสตร์ อยู่ ภาย ใต้ บังคับ พระราชบัญญัติ มหาวิทยาลัยเกษตรศาสตร์   พ.ศ.   2558   ซึ่ง,เป็น,"['มหาวิทยาลัย', 'กำกับ', 'รัฐ\n']"
ปัจจุบัน   มหาวิทยาลัยเกษตรศาสตร์ อยู่ ภาย ใต้ บังคับ พระราชบัญญัติ มหาวิทยาลัยเกษตรศาสตร์   พ.ศ.   2558   ซึ่ง,ประเมิน,"['สำนักงานกองทุนสนับสนุนการวิจัย', 'สกว.']"
ปัจจุบัน   มหาวิทยาลัยเกษตรศาสตร์ อยู่ ภาย ใต้ บังคับ พระราชบัญญัติ มหาวิทยาลัยเกษตรศาสตร์   พ.ศ.   2558   ซึ่ง,ประเมิน,"['คุณภาพ', 'ผล', 'งาน']"
ปัจจุบัน   มหาวิทยาลัยเกษตรศาสตร์ อยู่ ภาย ใต้ บังคับ พระราชบัญญัติ มหาวิทยาลัยเกษตรศาสตร์   พ.ศ.   2558   ซึ่ง,วิจัย,"['เชิง', 'วิชาการ', 'ด้าน', 'วิทยาศาสตร์และ', 'เทคโนโลยี', 'สถาบัน', 'อุดมศึกษา', 'ผล']"
ปัจจุบัน   มหาวิทยาลัยเกษตรศาสตร์ อยู่ ภาย ใต้ บังคับ พระราชบัญญัติ มหาวิทยาลัยเกษตรศาสตร์   พ.ศ.   2558   ซึ่ง,ประเมิน,['มหาวิทยาลัยเกษตรศาสตร์']
ปัจจุบัน   มหาวิทยาลัยเกษตรศาสตร์ อยู่ ภาย ใต้ บังคับ พระราชบัญญัติ มหาวิทยาลัยเกษตรศาสตร์   พ.ศ.   2558   ซึ่ง,ประเมิน,['ระดับ']
ปัจจุบัน   มหาวิทยาลัยเกษตรศาสตร์ อยู่ ภาย ใต้ บังคับ พระราชบัญญัติ มหาวิทยาลัยเกษตรศาสตร์   พ.ศ.   2558   ซึ่ง,ดี,"['สาขา', 'วิชา']"
ปัจจุบัน   มหาวิทยาลัยเกษตรศาสตร์ อยู่ ภาย ใต้ บังคับ พระราชบัญญัติ มหาวิทยาลัยเกษตรศาสตร์   พ.ศ.   2558   ซึ่ง,จัดการ,"['ศัตรู', 'พืช', 'Pest', 'Management', 'ภาค', 'วิชากีฏวิทยา', 'คณะเกษตร']"
อีก ทั้ง ยัง ได้,เป็น,"['1', 'กระทรวงศึกษาธิการ', 'ปี', 'พ.ศ.', '2552', 'ปัจจุบัน']"
มหาวิทยาลัยเกษตรศาสตร์,มี,"['วิทยาเขต', 'วิทยาเขตกำแพงแสน', 'วิทยาเขตศรีราชา', 'วิทยาเขตเฉลิม', 'พระเกียรติ', 'จังหวัดสกลนคร']"
มหาวิทยาลัยเกษตรศาสตร์,มี,['โครงการ']
มหาวิทยาลัยเกษตรศาสตร์,จัดตั้ง,"['วิทยา', 'เขตสุพรรณบุรี']"
มหาวิทยาลัยเกษตรศาสตร์,สอน,['สถาบันสมทบ']
มหาวิทยาลัยเกษตรศาสตร์,มี,['หลักสูตร']
มหาวิทยาลัยเกษตรศาสตร์,เป็น,"['หลักสูตร', 'ชาติ']"
นอก จาก นี้   ยัง ได้,จัดตั้ง,"['สถาบัน', 'วิจัยขึ้น', 'จังหวัด']"
นอก จาก นี้   ยัง ได้,ต่าง,['ๆ']
นอก จาก นี้   ยัง ได้,วิจัย,['ศาสตร์']
นอก จาก นี้   ยัง ได้,ต่าง,['ๆ']
มหาวิทยาลัยเชียงใหม่   ( อังกฤษ :   Chiang Mai University ;   อักษร,ย่อ,"['มช.', '–', 'CMU']"
มหาวิทยาลัยเชียงใหม่   ( อังกฤษ :   Chiang Mai University ;   อักษร,เป็น,"['มหาวิทยาลัย', 'รัฐ']"
