Extracted Verb POS*Thai_N,Translated Verb POS*Eng_N,Main Verb POS*Thai_N
เลือก,choose,เลือก
ศึกษา,study,ศึกษา
ประกอบด้วย,together with,ประกอบด้วย
ครอบคลุม,comprehensive,ครอบคลุม
มี,have,มี
รวม,together,รวม
เป็น,be,เป็น
เป็น,be,เป็น
สอน,teach,สอน
ตั้งขึ้น,set up,ตั้งขึ้น
เป็น,be,เป็น
ตั้งขึ้น,set up,ตั้งขึ้น
เปลี่ยน,change,เปลี่ยน
เป็น,be,เป็น
รวม,together,รวม
แผนที่,map,แผนที่
เป็น,be,เป็น
รวม,together,รวม
ก่อตั้ง,establish,ก่อตั้ง
ฝึกหัด,practice,ฝึกหัด
เปลี่ยน,change,เปลี่ยน
เป็น,be,เป็น
เป็น,be,เป็น
ปรับปรุง,amend,ปรับปรุง
รวม,together,รวม
เป็น,be,เป็น
สอน,teach,สอน
ขยาย,expand,ขยาย
ครอบคลุม,comprehensive,ครอบคลุม
มี,have,มี
เป็น,be,เป็น
สนับสนุน,support,สนับสนุน
จัด,organize,จัด
ปรากฏ,appear,ปรากฏ
ได้รับ,receive,รับ
ดีมาก,very good,ดีมาก
จัดการ,manage,บริหาร
เป็น,be,เป็น
วิจัย,research,วิจัย
มี,have,มี
จัดตั้ง,establish,ก่อตั้ง
เปิด,open,เปิด
มี,have,มี
เป็น,be,เป็น
จัดตั้ง,establish,ก่อตั้ง
ดำเนิน,conduct,ดำเนิน
เป็น,be,เป็น
จัดตั้งขึ้น,establish,ก่อตั้ง
เป็น,be,เป็น
ก่อตั้ง,establish,ก่อตั้ง
ตั้งอยู่,locate,ตั้งอยู่
มี,have,มี
เป็น,be,เป็น
จัด,organize,จัด
ครอบคลุม,comprehensive,ครอบคลุม
มี,have,มี
สอน,teach,สอน
มี,have,มี
ต่อเนื่อง,continuously,ต่อเนื่อง
เป็น,be,เป็น
คือ,be,เป็น
เป็น,be,เป็น
คือ,be,เป็น
เป็น,be,เป็น
เน้น,emphasize,เน้น
ก่อให้เกิด,pose,ก่อให้เกิด
เป็น,be,เป็น
เน้น,emphasize,เน้น
ทำ,do,ทำ
มี,have,มี
ก่อให้เกิด,pose,ก่อให้เกิด
ได้รับ,receive,รับ
เป็น,be,เป็น
วิจัย,research,วิจัย
เป็น,be,เป็น
พันธมิตร,alliance,พันธมิตร
เป็นสมาชิก,become a member,เป็นสมาชิก
ย่อ,short,ย่อ
เป็น,be,เป็น
ชั้นสูง,noble,ชั้นสูง
มี,have,มี
เป็น,be,เป็น
เป็น,be,เป็น
สอน,teach,สอน
สูง,high,สูง
เน้นหนัก,focus on,เน้นหนัก
ยังมี,still have,ยังมี
ฝึกอบรม,training,ฝึกอบรม
ให้บริการ,serve,บริการ
ถือเป็น,consider a,ถือเป็น
เปิด,open,เปิด
เป็น,be,เป็น
จัด,organize,จัด
ประกอบ,assemble,ประกอบ
เป็น,be,เป็น
มี,have,มี
ที่สูง,high place,ที่สูง
มี,have,มี
สูง,high,สูง
ได้รับ,receive,รับ
ดำเนินงาน,operate,ดำเนินงาน
เกี่ยวข้อง,relevant,เกี่ยวข้อง
รวมถึง,include,รวมถึง
มี,have,มี
รวมถึง,include,รวมถึง
สำคัญ,important,สำคัญ
เป็น,be,เป็น
ประจำ,regular,ประจำ
สภานิติบัญญัติ,legislature,สภานิติบัญญัติ
สภาปฏิรูป,reform council,สภาปฏิรูป
รวมถึง,include,รวมถึง
ฝึกหัด,practice,ฝึกหัด
ก่อตั้ง,establish,ก่อตั้ง
เป็น,be,เป็น
เป็น,be,เป็น
เป็น,be,เป็น
ทำ,do,ทำ
การสอน,teach,สอน
มี,have,มี
เป็น,be,เป็น
เป็น,be,เป็น
ใช้,use,ใช้
ศึกษา,study,ศึกษา
ใช้,use,ใช้
เป็น,be,เป็น
เป็น,be,เป็น
อยู่,live,อยู่
ศึกษา,study,ศึกษา
พัก,stay,พัก
เรียก,call,เรียก
อาศัย,live,อาศัย
นิสิต,student,นิสิต
เปิด,open,เปิด
อยู่,live,อยู่
ใช้,use,ใช้
เรียน,learn,เรียน
พัก,stay,พัก
เหมือน,like,เหมือน
เรียก,call,เรียก
เป็น,be,เป็น
รับ,receive,รับ
ใช้,use,ใช้
ตั้งขึ้น,set up,ตั้งขึ้น
จัด,organize,จัด
การสอน,teach,สอน
รับ,receive,รับ
จำกัด,ltd .,จำกัด
เปิด,open,เปิด
ศึกษา,study,ศึกษา
ทั่วไป,general,ทั่วไป
มี,have,มี
ดำเนิน,conduct,ดำเนิน
ใช้,use,ใช้
จัด,organize,จัด
การสอน,teach,สอน
เน้น,emphasize,เน้น
เรียนรู้,learn,เรียนรู้
จัด,organize,จัด
จบ,finish,จบ
รับ,receive,รับ
บรม,arch,บรม
ปฏิบัติ,carry out,ปฏิบัติ
พระราชทาน,bestow,พระราชทาน
รักษา,treat,รักษา
ออก,leave,ออก
ควบคุม,control,ควบคุม
สภา,council,สภา
เหลือ,left,เหลือ
ควบคุม,control,ควบคุม
มี,have,มี
เป็น,be,เป็น
ก่อตั้ง,establish,ก่อตั้ง
เน้น,emphasize,เน้น
ตั้งอยู่,locate,ตั้งอยู่
เป็น,be,เป็น
จัดตั้ง,establish,ก่อตั้ง
มี,have,มี
เป็น,be,เป็น
พระมหากรุณาธิคุณ,his majesty,พระมหากรุณาธิคุณ
บรม,arch,บรม
อันเป็น,which be,อันเป็น
เป็น,be,เป็น
จัด,organize,จัด
ครอบคลุม,comprehensive,ครอบคลุม
พัฒนา,develop,พัฒนา
เป็น,be,เป็น
จัดอันดับ,rank,จัดอันดับ
เขียว,green,เขียว
ปรากฏ,appear,ปรากฏ
เป็น,be,เป็น
เป็น,be,เป็น
ตั้งอยู่,locate,ตั้งอยู่
ก่อตั้ง,establish,ก่อตั้ง
ฝึกหัด,practice,ฝึกหัด
ประจำ,regular,ประจำ
เปลี่ยน,change,เปลี่ยน
เป็น,be,เป็น
เป็น,be,เป็น
เปลี่ยน,change,เปลี่ยน
เป็น,be,เป็น
เป็น,be,เป็น
ยกฐานะ,raise the position,ยกฐานะ
เป็น,be,เป็น
เน้น,emphasize,เน้น
มุ่งเน้น,focus,มุ่งเน้น
ต่อ,continue,ต่อ
เป็น,be,เป็น
มาจาก,come from,มาจาก
ฝึกหัด,practice,ฝึกหัด
ตั้งอยู่,locate,ตั้งอยู่
เปลี่ยน,change,เปลี่ยน
เป็น,be,เป็น
ได้รับ,receive,รับ
บรม,arch,บรม
เป็น,be,เป็น
เป็น,be,เป็น
ประจำ,regular,ประจำ
มี,have,มี
อาชีว,occupational,อาชีว
เป็น,be,เป็น
เปิด,open,เปิด
ชั้นสูง,noble,ชั้นสูง
ชั้นสูง,noble,ชั้นสูง
ใช้,use,ใช้
เกิด,happen,เกิด
รวมตัว,gather,รวมตัว
เป็น,be,เป็น
มี,have,มี
เป็น,be,เป็น
ในสังกัด,under,ในสังกัด
จัดตั้ง,establish,ก่อตั้ง
เป็น,be,เป็น
เปลี่ยน,change,เปลี่ยน
เป็น,be,เป็น
เปิด,open,เปิด
ชั้นสูง,noble,ชั้นสูง
ปฏิบัติการ,operating,ปฏิบัติการ
เป็น,be,เป็น
มี,have,มี
จัด,organize,จัด
มี,have,มี
จัด,organize,จัด
ผลิต,manufacture,ผลิต
สร้าง,build,สร้าง
เป็น,be,เป็น
ให้บริการ,serve,บริการ
ส่งเสริม,promote,ส่งเสริม
เป็น,be,เป็น
เป็น,be,เป็น
อยู่,live,อยู่
ดูแล,look after,ดูแล
ทำ,do,ทำ
การสอน,teach,สอน
พยาบาล,nurse,พยาบาล
เป็น,be,เป็น
ตั้งอยู่,locate,ตั้งอยู่
เป็น,be,เป็น
ยกฐานะ,raise the position,ยกฐานะ
ในสังกัด,under,ในสังกัด
เป็น,be,เป็น
เป็น,be,เป็น
จัด,organize,จัด
ครอบคลุม,comprehensive,ครอบคลุม
มี,have,มี
มี,have,มี
เป็น,be,เป็น
มี,have,มี
เป็น,be,เป็น
สูง,high,สูง
เป็น,be,เป็น
มี,have,มี
สูง,high,สูง
คือ,be,เป็น
ชั้นสูง,noble,ชั้นสูง
พระมหากรุณาธิคุณ,his majesty,พระมหากรุณาธิคุณ
ถวาย,offer,ถวาย
จัด,organize,จัด
เป็น,be,เป็น
ขยาย,expand,ขยาย
คล้าย,resemble,คล้าย
ก่อตั้ง,establish,ก่อตั้ง
เริ่มต้น,start,เริ่มต้น
ขยาย,expand,ขยาย
เป็น,be,เป็น
ทำ,do,ทำ
พระราชทาน,bestow,พระราชทาน
ใหม่,new,ใหม่
จุฬา,chula,จุฬา
ราช,royal,ราช
ตั้ง,set,ตั้ง
เป็น,be,เป็น
ชั้นสูง,noble,ชั้นสูง
ดำเนินงาน,operate,ดำเนินงาน
จริงจัง,serious,จริงจัง
พิมล,flawless,พิมล
เป็น,be,เป็น
คือ,be,เป็น
"ปญฺโญ),","panyo ) ,","ปญฺโญ),"
เป็น,be,เป็น
มีบทบาท,play a role,มีบทบาท
ส่งเสริม,promote,ส่งเสริม
สำคัญ,important,สำคัญ
เป็น,be,เป็น
สำคัญ,important,สำคัญ
จัดตั้ง,establish,ก่อตั้ง
บริการ,serve,บริการ
กระจาย,spread,กระจาย
เปิด,open,เปิด
ครอบคลุม,comprehensive,ครอบคลุม
รวม,together,รวม
จัดตั้ง,establish,ก่อตั้ง
ดำเนิน,conduct,ดำเนิน
ประยุกต์,apply,ประยุกต์
เป็น,be,เป็น
จบ,finish,จบ
ศึกษา,study,ศึกษา
ได้รับ,receive,รับ
พระเดชพระคุณ,milord,พระเดชพระคุณ
วัด,measure,วัด
เจ้าพระคุณ,benefactor,เจ้าพระคุณ
วัด,measure,วัด
ปฏิบัติหน้าที่,duty,ปฏิบัติหน้าที่
เจ้าพระคุณ,benefactor,เจ้าพระคุณ
มหา,great,มหา
วัด,measure,วัด
ปฏิบัติหน้าที่,duty,ปฏิบัติหน้าที่
มี,have,มี
กัปปิยะ,captain,กัปปิยะ
สร้าง,build,สร้าง
เดิม,old,เดิม
เป็น,be,เป็น
เน้น,emphasize,เน้น
การสอน,teach,สอน
ตั้งอยู่,locate,ตั้งอยู่
มี,have,มี
มาจาก,come from,มาจาก
ตั้งขึ้น,set up,ตั้งขึ้น
กรวม,total,กรวม
สถาปนา,establish,ก่อตั้ง
เปลี่ยน,change,เปลี่ยน
เปลี่ยน,change,เปลี่ยน
แยก,separate,แยก
เป็น,be,เป็น
อันเป็น,which be,อันเป็น
จัด,organize,จัด
การสอน,teach,สอน
เป็น,be,เป็น
จัดอันดับ,rank,จัดอันดับ
เป็น,be,เป็น
วิจัย,research,วิจัย
เป็นสมาชิก,become a member,เป็นสมาชิก
เป็น,be,เป็น
ยกฐานะ,raise the position,ยกฐานะ
เป็น,be,เป็น
เป็น,be,เป็น
จอมเกล้า,chom klao,จอมเกล้า
มี,have,มี
เป็น,be,เป็น
เป็น,be,เป็น
ได้แก่,namely,ได้แก่
ทำ,do,ทำ
เป็น,be,เป็น
มี,have,มี
ก่อตั้ง,establish,ก่อตั้ง
พัฒนา,develop,พัฒนา
เป็น,be,เป็น
เป็น,be,เป็น
เป็น,be,เป็น
พระราชบัญญัติ,act,พระราชบัญญัติ
ผ่าน,pas,ผ่าน
ครบ,fully,ครบ
ประกาศ,announce,ประกาศ
มีผลบังคับใช้,effective,มีผลบังคับใช้
ถือเป็น,consider a,ถือเป็น
แปล,translate,แปล
จัด,organize,จัด
เน้น,emphasize,เน้น
พัฒนา,develop,พัฒนา
ได้รับ,receive,รับ
ประเมิน,estimate,ประเมิน
บริการ,serve,บริการ
ทำนุบำรุง,nourish,ทำนุบำรุง
ประกัน,guarantee,ประกัน
ได้รับ,receive,รับ
ประกอบด้วย,together with,ประกอบด้วย
ได้แก่,namely,ได้แก่
มี,have,มี
จัด,organize,จัด
การสอน,teach,สอน
ครอบคลุม,comprehensive,ครอบคลุม
เป็น,be,เป็น
ตั้งอยู่,locate,ตั้งอยู่
เดิม,old,เดิม
ตรา,brand,ตรา
ประกาศ,announce,ประกาศ
แยก,separate,แยก
เป็น,be,เป็น
เต็ม,full,เต็ม
เป็น,be,เป็น
ทำ,do,ทำ
เป็น,be,เป็น
เดิม,old,เดิม
เป็น,be,เป็น
ตั้งอยู่,locate,ตั้งอยู่
ตั้งขึ้น,set up,ตั้งขึ้น
มี,have,มี
คือ,be,เป็น
ประกอบด้วย,together with,ประกอบด้วย
รวม,together,รวม
ฝึกอบรม,training,ฝึกอบรม
แสดง,show,แสดง
ประกอบ,assemble,ประกอบ
บริการ,serve,บริการ
สอดคล้อง,in line with,สอดคล้อง
พัฒนา,develop,พัฒนา
ทำนุบำรุง,nourish,ทำนุบำรุง
จัด,organize,จัด
มุ่ง,aim,มุ่ง
เป็น,be,เป็น
เป็น,be,เป็น
ตั้งขึ้น,set up,ตั้งขึ้น
มี,have,มี
ให้ความสำคัญ,pay attention,ให้ความสำคัญ
ยกฐานะ,raise the position,ยกฐานะ
เป็น,be,เป็น
พัฒนา,develop,พัฒนา
เป็น,be,เป็น
เป็น,be,เป็น
มีชื่อเสียง,reputable,มีชื่อเสียง
เป็น,be,เป็น
ก่อตั้ง,establish,ก่อตั้ง
มี,have,มี
เป็น,be,เป็น
การศึกษา,study,การศึกษา
เปลี่ยนเป็น,change to,เปลี่ยนเป็น
เป็น,be,เป็น
เป็น,be,เป็น
มี,have,มี
ผูกพัน,binding,ผูกพัน
ประ,dot,ประ
คือ,be,เป็น
คือ,be,เป็น
มีผล,effective,มีผล
มี,have,มี
เป็น,be,เป็น
เป็น,be,เป็น
วิจัย,research,วิจัย
จัด,organize,จัด
ครอบคลุม,comprehensive,ครอบคลุม
ประกอบ,assemble,ประกอบ
เป็น,be,เป็น
จัด,organize,จัด
เป็น,be,เป็น
วิจัย,research,วิจัย
เป็น,be,เป็น
มี,have,มี
จัด,organize,จัด
ทำ,do,ทำ
ทำ,do,ทำ
สร้าง,build,สร้าง
ให้บริการ,serve,บริการ
บำบัดรักษา,treatment,บำบัดรักษา
เป็น,be,เป็น
เป็น,be,เป็น
ใช้,use,ใช้
บรม,arch,บรม
พระราชทาน,bestow,พระราชทาน
ถือว่า,consider,ถือว่า
เป็น,be,เป็น
มี,have,มี
ประกาศใช้,promulgate,ประกาศใช้
เป็น,be,เป็น
เป็น,be,เป็น
วิจัย,research,วิจัย
ได้รับ,receive,รับ
ศึกษา,study,ศึกษา
ใช้,use,ใช้
คือ,be,เป็น
เป็น,be,เป็น
ศึกษา,study,ศึกษา
ย้าย,maternal grandmother,ย้าย
เรียน,learn,เรียน
ย้าย,maternal grandmother,ย้าย
เรียน,learn,เรียน
เป็น,be,เป็น
ใหญ่,big,ใหญ่
เปิด,open,เปิด
เปิด,open,เปิด
เปิด,open,เปิด
เปิด,open,เปิด
ครอบคลุม,comprehensive,ครอบคลุม
มี,have,มี
ดูแล,look after,ดูแล
การสอน,teach,สอน
มี,have,มี
รวม,together,รวม
ทำ,do,ทำ
ปกติ,normal,ปกติ
ย่อ,short,ย่อ
เป็น,be,เป็น
จัด,organize,จัด
เป็น,be,เป็น
มี,have,มี
เป็น,be,เป็น
ตามกฎหมาย,by law,ตามกฎหมาย
บริหาร,manage,บริหาร
สังกัด,affiliation,สังกัด
ตั้งขึ้น,set up,ตั้งขึ้น
ตรง,straight,ตรง
เป็น,be,เป็น
เป็น,be,เป็น
จัด,organize,จัด
เป็น,be,เป็น
เป็น,be,เป็น
สอน,teach,สอน
เป็น,be,เป็น
ก่อ,form,ก่อ
ตั้ง,set,ตั้ง
เมือง,city,เมือง
ดำรง,maintain,ดำรง
เป็น,be,เป็น
พระราชทาน,bestow,พระราชทาน
ใหม่,new,ใหม่
มีความหมาย,meaningful,มีความหมาย
สยาม,siam,สยาม
เป็น,be,เป็น
มี,have,มี
เป็น,be,เป็น
เป็น,be,เป็น
รวม,together,รวม
จัด,organize,จัด
เป็น,be,เป็น
เป็น,be,เป็น
มี,have,มี
เป็น,be,เป็น
ตามกฎหมาย,by law,ตามกฎหมาย
บริหาร,manage,บริหาร
ชื่อว่า,name,ชื่อว่า
ตั้งอยู่,locate,ตั้งอยู่
วัด,measure,วัด
วัด,measure,วัด
ก่อตั้ง,establish,ก่อตั้ง
ย้าย,maternal grandmother,ย้าย
คือ,be,เป็น
แพร่,spread,แพร่
คือ,be,เป็น
เห็น,see,เห็น
เดิม,old,เดิม
ติด,stuck,ติด
เพชร,diamond,เพชร
ยันตร,talisman,ยันตร
ก่อสร้าง,construct,ก่อสร้าง
เป็น,be,เป็น
เป็น,be,เป็น
ขนาดใหญ่พิเศษ,extra large,ขนาดใหญ่พิเศษ
สอน,teach,สอน
ตั้งอยู่,locate,ตั้งอยู่
ตำบล,district,ตำบล
มี,have,มี
เป็น,be,เป็น
ประจำ,regular,ประจำ
คู่,pair,คู่
ในสังกัด,under,ในสังกัด
เป็น,be,เป็น
ตั้งอยู่,locate,ตั้งอยู่
เทศบาลเมือง,municipality,เทศบาลเมือง
มี,have,มี
มี,have,มี
รวม,together,รวม
เป็น,be,เป็น
สังกัด,affiliation,สังกัด
อยู่,live,อยู่
ดูแล,look after,ดูแล
ตั้งขึ้น,set up,ตั้งขึ้น
เป็น,be,เป็น
ฝึกสอน,coach,ฝึกสอน
จัด,organize,จัด
การสอน,teach,สอน
มี,have,มี
พร้อม,ready,พร้อม
เป็น,be,เป็น
ตั้งอยู่,locate,ตั้งอยู่
เป็นที่ตั้ง,be the location,เป็นที่ตั้ง
มี,have,มี
เป็น,be,เป็น
ตั้งอยู่,locate,ตั้งอยู่
ก่อ,form,ก่อ
ในนาม,on behalf,ในนาม
ฝึกหัด,practice,ฝึกหัด
เป็น,be,เป็น
เรียก,call,เรียก
เป็น,be,เป็น
ก่อตั้ง,establish,ก่อตั้ง
ฝึกหัด,practice,ฝึกหัด
ตั้งอยู่,locate,ตั้งอยู่
จัด,organize,จัด
ครอบคลุม,comprehensive,ครอบคลุม
ประกอบ,assemble,ประกอบ
เป็น,be,เป็น
เป็น,be,เป็น
เป็น,be,เป็น
จัด,organize,จัด
ตั้งอยู่,locate,ตั้งอยู่
ทำ,do,ทำ
เป็น,be,เป็น
ฝึกหัด,practice,ฝึกหัด
เป็น,be,เป็น
ตั้งอยู่,locate,ตั้งอยู่
เริ่ม,start,เริ่ม
ตั้งขึ้น,set up,ตั้งขึ้น
เป็น,be,เป็น
มีชื่อเสียง,reputable,มีชื่อเสียง
ตั้งอยู่,locate,ตั้งอยู่
เป็น,be,เป็น
รับบริจาค,accept donation,รับบริจาค
รับบริจาค,accept donation,รับบริจาค
จัด,organize,จัด
เป็น,be,เป็น
คือ,be,เป็น
ได้แก่,namely,ได้แก่
ชั้นสูง,noble,ชั้นสูง
เป็น,be,เป็น
พัฒนา,develop,พัฒนา
สถาปนา,establish,ก่อตั้ง
ตั้งอยู่,locate,ตั้งอยู่
ใกล้,near,ใกล้
สอน,teach,สอน
จัดตั้ง,establish,ก่อตั้ง
ตอบ,reply,ตอบ
กระจาย,spread,กระจาย
จัดตั้ง,establish,ก่อตั้ง
รวม,together,รวม
เป็น,be,เป็น
กาฬสินธุ์,kalasin,กาฬสินธุ์
รับ,receive,รับ
พระ,monk,พระ
บรม,arch,บรม
แทน,instead,แทน
เป็น,be,เป็น
สังกัด,affiliation,สังกัด
ตั้งอยู่,locate,ตั้งอยู่
เมือง,city,เมือง
ห่าง,far,ห่าง
ไร่,farm,ไร่
มี,have,มี
เป็น,be,เป็น
ตั้งอยู่,locate,ตั้งอยู่
เดิม,old,เดิม
ตั้งขึ้น,set up,ตั้งขึ้น
ตั้งอยู่,locate,ตั้งอยู่
