Extracted Verb POS*Thai_N,Count,Main Verb POS*Thai_N,Count,Extracted Verb POS*Thai_D,Count,Main Verb POS*Thai_D,Count
ดีมาก,2,ตอบ,2.0,ทรง,2.0,ทำนุบำรุง,2.0
ตอบ,2,ตั้งขึ้น,14.0,ทำนุบำรุง,2.0,นำ,6.0
ตั้ง,2,ตั้งอยู่,28.0,นานา,2.0,บริการ,6.0
ตามกฎหมาย,2,ทำ,10.0,บริจาค,2.0,ปฏิบัติ,3.0
ทำนุบำรุง,2,ปฏิบัติหน้าที่,2.0,ปฏิบัติการ,2.0,ประกาศ,3.0
บริหาร,2,ประกาศ,2.0,ประจำ,11.0,ประเมิน,6.0
ปฏิบัติหน้าที่,2,ประจำ,5.0,ประยุกต์,2.0,ปรากฏ,2.0
ประกาศ,2,ผลิต,3.0,ปริญญา,2.0,ฝึกหัด,7.0
ประเมิน,2,ฝึกอบรม,2.0,ฝึกหัด,7.0,พระมหากรุณาธิคุณ,2.0
ปรากฏ,2,พระมหากรุณาธิคุณ,2.0,ฝึกอบรม,2.0,พระราชทาน,3.0
ฝึกอบรม,2,พัฒนา,6.0,พร้อม,3.0,พัฒนา,7.0
พระมหากรุณาธิคุณ,2,มาจาก,2.0,พัก,2.0,พิเศษ,2.0
มาจาก,2,ยังมี,2.0,ยก,8.0,รวม,20.0
มีชื่อเสียง,2,ย้าย,3.0,รวม,20.0,รับรอง,2.0
ยังมี,2,รวมถึง,3.0,รับรอง,2.0,ร่วมมือ,4.0
ย่อ,2,รับบริจาค,2.0,รู้,5.0,วิจัย,14.0
รับบริจาค,2,สนับสนุน,4.0,สนับสนุน,2.0,สังกัด,3.0
พัก,2,มีชื่อเสียง,2.0,พิเศษ,2.0,ยก,8.0
