Subject,Verb,Objects
ดร. สยมพร   ทอง เนื้อ,ประกอบด้วย,"['หลักสูตร', 'วิศวกรรมศาสตรบัณฑิต', 'สาขา', 'ความปลอดภัย', 'หลักสูตร', 'บริหารธุรกิจบัณฑิต', 'บริหารธุรกิจบัณฑิต', 'หลักสูตร', 'นานาชาติ', 'หลักสูตร', 'บัญชีบัณฑิต', 'รัฐประศาสนศาสตรบัณฑิต']"
ส่วน หลักสูตร ปริญญาโท  ,ประกอบด้วย,"['บริหารธุรกิจมหาบัณฑิต', 'รัฐประศาสนศาสตรมหาบัณฑิต']"
ส่วน หลักสูตร ปริญญาโท  ,ศึกษา,"['ศาสตร', 'มหาบัณฑิต']"
นอกจากนี้ ยัง,ขยาย,"['พื้นที่', 'วิทยาเขต', 'พระราม', 'จังหวัด', 'สมุทรสาคร']"
นอกจากนี้ ยัง,สอน,"['สาขา', 'สาขา', 'อุตสาห', 'กรรมการ']"
นอกจากนี้ ยัง,แปรรูป,"['อาหาร', 'สาขา', 'วิศวกรรม', 'โลจิสติกส์']"
นอกจากนี้ ยัง,จัดการ,"['ห่วง', 'โซ่', 'อุปทาน', 'สาขา', 'การศึกษา', 'ปฐมวัย', 'สาขา', 'หลักสูตร']"
นอกจากนี้ ยัง,จัด,"['การเรียนรู้', 'สาขา', 'ดุริยางคศาสตร์', '\n', '  ']"
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,ยังมี,['ความมุ่งมั่น']
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,สอน,"['หลักสูตร', 'สาขา']"
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,ตอบ,"['โจทย์', 'การพัฒนา', 'ประเทศ', 'ภูมิภาค', 'ชุมชน', '  ']"
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,ผลิต,['บัณฑิต']
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,มี,"['ทักษะ', 'ศักยภาพ', 'ด้าน']"
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,ใช้,"['ภาษาสากล', 'ภาษาอังกฤษ']"
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,ควบคู่,"['ความรู้', 'ทางวิชาการ', 'สาขา', 'ต่าง ๆ']"
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,สนับสนุน,['คณาจารย์']
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,ผลิต,"['ผลงาน', 'ทางวิชาการ', 'สาขา', 'ด้าน']"
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,สนับสนุน,"['การพัฒนา', 'ประเทศ', 'ระดับ', 'ชุมชน', 'ภูมิภาค', 'ระดับ', 'ประเทศ']"
สถาบันวิทยสิริเมธี   ( อังกฤษ :   Vidyasirimedhi   Institute   of   Science   and   Technology :   VISTEC )  ,เป็น,"['graduate', 'research', 'intensive', 'university']"
สถาบันวิทยสิริเมธี   ( อังกฤษ :   Vidyasirimedhi   Institute   of   Science   and   Technology :   VISTEC )  ,ตั้งอยู่,"['พื้นที่', 'วัง']"
สถาบันวิทยสิริเมธี   ( อังกฤษ :   Vidyasirimedhi   Institute   of   Science   and   Technology :   VISTEC )  ,จันทร์,"['วัลเลย์', 'ตำบล']"
สถาบันวิทยสิริเมธี   ( อังกฤษ :   Vidyasirimedhi   Institute   of   Science   and   Technology :   VISTEC )  ,ยุบ,"['อำเภอ', 'วัง', 'จันทร์', 'จังหวัด', 'ระยอง', 'ประเทศ', 'ไทย']"
ก่อ,ตั้งขึ้น,"['ปี', 'พ.ศ.', '2558']"
ก่อ,มูลนิธิ,"['พลัง', 'สร้างสรรค์', 'นวัตกรรม', 'Power', 'of', 'Innovation', 'Foundation', 'PIN', 'ชื่อ']"
มูลนิธิ สถาบัน วิทยาศาสตร์ และ เทคโนโลยี ระยอง )   ตาม โครงการ,จัดตั้ง,"['สถาบัน', 'อุดมศึกษา', 'โรงเรียน', 'วิทยาศาสตร์', 'กลุ่ม', 'ปตท.', 'พื้นที่', 'ภาค', 'ตะวันออก', 'วิสัยทัศน์']"
มูลนิธิ สถาบัน วิทยาศาสตร์ และ เทคโนโลยี ระยอง )   ตาม โครงการ,สำคัญ,"['ดร.', 'ไพรินทร์', 'ชู', 'โชติ']"
คน แรก   ที่,มุ่งหวัง,"['สถาบัน', 'ติดอันดับ', '1', 'มหาวิทยาลัย']"
คน แรก   ที่,วิจัย,"['ชั้นนำ', 'ระดับโลก', '\n', 'ปัจจุบัน', 'VISTEC']"
คน แรก   ที่,มี,"['นาย', 'อานันท์', 'ปัน']"
คน แรก   ที่,ยา,"['ร', 'ชุน', 'ดำรงตำแหน่ง', 'ประธาน', 'ที่ปรึกษา', 'นโยบาย', 'สถาบันวิทยสิริเมธี']"
ดร. ไพรินทร์   ชู โชติ,ถาวร,"['ดำรงตำแหน่ง', 'นายก', 'สภา', 'สถาบันวิทยสิริเมธี', 'ศาสตราจารย์', 'ดร.', 'จำรัส', 'ลิ้ม', 'ตระกูล', 'ดำรงตำแหน่ง', 'อธิการบดี', 'สถาบันวิทยสิริเมธี', 'VISTEC']"
ดร. ไพรินทร์   ชู โชติ,จัด,"['การศึกษา', 'ด้าน', 'วิทยาศาสตร์', 'วิศวกรรมศาสตร์', 'เทคโนโลยี']"
โดย,มี,['ศูนย์']
โดย,วิจัย,"['วิทยาศาสตร์', 'เทคโนโลยี', 'ชั้นแนวหน้า', 'Frontier', 'Research', 'Center']"
โดย,เป็น,['ศูนย์กลาง']
โดย,เสริมสร้าง,"['ความเข้มแข็ง', 'ทาง', 'การวิจัย', 'ให้การ']"
โดย,สนับสนุน,"['ด้าน', 'ทุน', 'การวิจัย', 'สถาบัน']"
โดย,เป็น,"['ศูนย์รวม', 'นักวิจัย']"
โดย,ดำเนินงาน,"['ด้าน', 'การศึกษา']"
โดย,สร้าง,['นวัตกรรม']
โดย,สร้าง,"['ความร่วมมือ', 'ด้าน']"
โดย,วิจัย,['สถาบันการศึกษา']
จุฬาลงกรณ์มหาวิทยาลัย   ( อังกฤษ :   Chulalongkorn   University ;   อักษรย่อ :   จฬ.   หรือ   จุฬาฯ   –   CU   or   Chula )  ,เป็น,"['มหาวิทยาลัย', 'สถาบัน', 'อุดมศึกษา', 'ประเทศ', 'ไทย']"
จุฬาลงกรณ์มหาวิทยาลัย   ( อังกฤษ :   Chulalongkorn   University ;   อักษรย่อ :   จฬ.   หรือ   จุฬาฯ   –   CU   or   Chula )  ,ตั้งอยู่,"['เขต', 'ปทุม', 'วัน', 'กรุงเทพมหานคร', 'ถือกำเนิด', 'โรงเรียน', 'ฝึกหัด', 'วิชา', 'ข้าราชการ', 'ฝ่าย', 'พลเรือน', 'พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว', 'โปรดเกล้าฯ']"
จุฬาลงกรณ์มหาวิทยาลัย   ( อังกฤษ :   Chulalongkorn   University ;   อักษรย่อ :   จฬ.   หรือ   จุฬาฯ   –   CU   or   Chula )  ,จัดตั้งขึ้น,"['วันที่', 'มีนาคม', 'พ.ศ.', '2442']"
จุฬาลงกรณ์มหาวิทยาลัย   ( อังกฤษ :   Chulalongkorn   University ;   อักษรย่อ :   จฬ.   หรือ   จุฬาฯ   –   CU   or   Chula )  ,มี,['พระ']
จุฬาลงกรณ์มหาวิทยาลัย   ( อังกฤษ :   Chulalongkorn   University ;   อักษรย่อ :   จฬ.   หรือ   จุฬาฯ   –   CU   or   Chula )  ,เป็น,['เครื่องหมาย']
จุฬาลงกรณ์มหาวิทยาลัย   ( อังกฤษ :   Chulalongkorn   University ;   อักษรย่อ :   จฬ.   หรือ   จุฬาฯ   –   CU   or   Chula )  ,ประจำ,"['โรงเรียน', 'พ.ศ.', '2459']"
จุฬาลงกรณ์มหาวิทยาลัย   ( อังกฤษ :   Chulalongkorn   University ;   อักษรย่อ :   จฬ.   หรือ   จุฬาฯ   –   CU   or   Chula )  ,นับ,['แบบ']
จุฬาลงกรณ์มหาวิทยาลัย   ( อังกฤษ :   Chulalongkorn   University ;   อักษรย่อ :   จฬ.   หรือ   จุฬาฯ   –   CU   or   Chula )  ,เก่า,"['พระบาทสมเด็จพระมงกุฎเกล้าเจ้าอยู่หัว', 'ทรง', 'ประดิษฐาน']"
จุฬาลงกรณ์มหาวิทยาลัย   ( อังกฤษ :   Chulalongkorn   University ;   อักษรย่อ :   จฬ.   หรือ   จุฬาฯ   –   CU   or   Chula )  ,เป็น,"['มหาวิทยาลัย', 'พระราชทาน', 'นาม', 'จุฬาลงกรณ์มหาวิทยาลัย', 'จุฬาลงกรณ์มหาวิทยาลัย']"
จุฬาลงกรณ์มหาวิทยาลัย   ( อังกฤษ :   Chulalongkorn   University ;   อักษรย่อ :   จฬ.   หรือ   จุฬาฯ   –   CU   or   Chula )  ,เป็น,"['มหาวิทยาลัย', 'อันดับ', 'ๆ', 'ประเทศ', 'ไทย']"
และ,เป็น,"['มหาวิทยาลัย', 'อันดับ']"
และ,จัดอันดับ,['สำนัก']
หนึ่ง ใน มหาวิทยาลัย,วิจัย,"['แห่งชาติ', 'ปี', 'พ.ศ.', '2552']"
หนึ่ง ใน มหาวิทยาลัย,รับรอง,"['มาตรฐาน', 'การศึกษา', 'ระดับ']"
หนึ่ง ใน มหาวิทยาลัย,ดีมาก,"['สำนักงาน', 'รับรอง', 'มาตรฐาน']"
หนึ่ง ใน มหาวิทยาลัย,ประเมิน,"['คุณภาพ', 'การศึกษา', '(สม', 'ศ.']"
หนึ่ง ใน มหาวิทยาลัย,เป็นสมาชิก,"['เครือข่าย', 'มหาวิทยาลัย', 'อาเซียน', 'AUN']"
หนึ่ง ใน มหาวิทยาลัย,เป็น,['มหาวิทยาลัย']
หนึ่ง ใน มหาวิทยาลัย,เป็นสมาชิก,"['สมาคม', 'มหาวิทยาลัย', 'ภาคพื้น', 'แปซิฟิก', 'APRU', 'ส่วน']"
หนึ่ง ใน มหาวิทยาลัย,รับ,['บุคคล']
หนึ่ง ใน มหาวิทยาลัย,ศึกษา,"['สถาบัน', 'อุดมศึกษา']"
หนึ่ง ใน มหาวิทยาลัย,พบ,['ผู้สมัครสอบ']
หนึ่ง ใน มหาวิทยาลัย,ศึกษา,"['จุฬาลงกรณ์มหาวิทยาลัย', 'ปัจจุบัน', 'จุฬาลงกรณ์มหาวิทยาลัย']"
หนึ่ง ใน มหาวิทยาลัย,ประกอบด้วย,['วิชา']
หนึ่ง ใน มหาวิทยาลัย,ครอบคลุม,"['สาขา', 'วิทยาศาสตร์', 'เทคโนโลยี']"
และ,มี,"['หน่วยงาน', 'วิทยาลัย', 'บัณฑิต', 'วิทยาลัย', 'สถาบัน', 'สถาบัน', 'สมทบ', 'จำนวน', 'หลักสูตร']"
และ,รวม,"['ระดับ', 'ปริญญาตรี', 'ระดับ', 'บัณฑิตศึกษา', 'จำนวน']"
และ,เป็น,"['หลักสูตร', 'นานาชาติ', 'หลักสูตร', 'ภาษาอังกฤษ']"
มหาวิทยาลัยเกษตรศาสตร์   ( อังกฤษ :   Kasetsart   University ;   อักษรย่อ :   มก.   –   KU )  ,เป็น,"['มหาวิทยาลัย', 'รัฐ', 'ประเทศ', 'ไทย']"
มหาวิทยาลัยเกษตรศาสตร์   ( อังกฤษ :   Kasetsart   University ;   อักษรย่อ :   มก.   –   KU )  ,สอน,"['หลักสูตร', 'ด้าน', 'การเกษตร', 'ก่อ']"
มหาวิทยาลัยเกษตรศาสตร์   ( อังกฤษ :   Kasetsart   University ;   อักษรย่อ :   มก.   –   KU )  ,ตั้งขึ้น,"['เป็นลำดับ', 'ประเทศ']"
แรกเริ่ม,เป็น,"['โรงเรียน', 'ช่าง', 'ไหม']"
ก่อ,ตั้งขึ้น,"['ปี', 'พ.ศ.', '2447']"
ก่อ,เปลี่ยน,['ชื่อ']
ก่อ,เป็น,['โรงเรียน']
หลังจากนั้น,รวม,['โรงเรียน']
หลังจากนั้น,แผนที่,"['โรงเรียน', 'กรม', 'คลอง']"
หลังจากนั้น,เป็น,"['โรงเรียน', 'เกษตราธิการ']"
หลังจากนั้น,รวม,"['โรงเรียน', 'ข้าราชการ', 'พล', 'เร', 'ีอนฯ']"
ใน ปี   พ.ศ.   2456   ต่อมา,ก่อตั้ง,"['ปี', 'พ.ศ.', '2460', 'โรงเรียน']"
ใน ปี   พ.ศ.   2456   ต่อมา,ฝึกหัด,"['ครู', 'ประถม', 'กสิกรรม']"
ใน ปี   พ.ศ.   2456   ต่อมา,เปลี่ยน,['ชื่อ']
ใน ปี   พ.ศ.   2456   ต่อมา,เป็น,"['โรงเรียนมัธยม', 'วิสามัญ', 'เกษตรกรรม']"
ใน ปี   พ.ศ.   2456   ต่อมา,เป็น,"['วิทยาลัย', 'เกษตรศาสตร์', 'ถัด', 'จากนั้นมา']"
รัฐบาล ได้,รวม,"['กิจการ', 'วิทยาลัย', 'เกษตรศาสตร์']"
บาง เขน   กับ โรงเรียน วนศาสตร์   จังหวัด แพร่   และ สถาปนา,เป็น,"['มหาวิทยาลัยเกษตรศาสตร์', 'ปี', 'พ.ศ.', '2486', 'ระยะแรก', 'มหาวิทยาลัยเกษตรศาสตร์']"
บาง เขน   กับ โรงเรียน วนศาสตร์   จังหวัด แพร่   และ สถาปนา,สอน,"['ด้าน', 'การเกษตร']"
บาง เขน   กับ โรงเรียน วนศาสตร์   จังหวัด แพร่   และ สถาปนา,ขยาย,['สาขาวิชา']
บาง เขน   กับ โรงเรียน วนศาสตร์   จังหวัด แพร่   และ สถาปนา,ครอบคลุม,"['เกษตรศาสตร์', 'วิทยาศาสตร์', 'วิทยาศาสตร์', 'สุขภาพ', 'วิศวกรรมศาสตร์', 'ศึกษาศาสตร์', 'สังคมศาสตร์', 'มนุษยศาสตร์', 'บริหารธุรกิจ', 'งาน']"
ปัจจุบัน   มหาวิทยาลัยเกษตรศาสตร์ อยู่ ภายใต้ บังคับ พระราชบัญญัติ มหาวิทยาลัยเกษตรศาสตร์   พ.ศ.   2558   ซึ่ง,มี,['สภาพ']
ปัจจุบัน   มหาวิทยาลัยเกษตรศาสตร์ อยู่ ภายใต้ บังคับ พระราชบัญญัติ มหาวิทยาลัยเกษตรศาสตร์   พ.ศ.   2558   ซึ่ง,เป็น,"['มหาวิทยาลัย', 'กำกับ', 'รัฐ', '\n', 'การประเมิน', 'สำนักงาน', 'กองทุน']"
ปัจจุบัน   มหาวิทยาลัยเกษตรศาสตร์ อยู่ ภายใต้ บังคับ พระราชบัญญัติ มหาวิทยาลัยเกษตรศาสตร์   พ.ศ.   2558   ซึ่ง,สนับสนุน,"['การวิจัย', 'สกว.']"
ปัจจุบัน   มหาวิทยาลัยเกษตรศาสตร์ อยู่ ภายใต้ บังคับ พระราชบัญญัติ มหาวิทยาลัยเกษตรศาสตร์   พ.ศ.   2558   ซึ่ง,จัด,"['การประเมิน', 'คุณภาพ', 'ผลงานวิจัย', 'เชิง', 'วิชาการ', 'ด้าน', 'วิทยาศาสตร์', 'เทคโนโลยี', 'สถาบัน', 'อุดมศึกษา', 'ผล']"
ปัจจุบัน   มหาวิทยาลัยเกษตรศาสตร์ อยู่ ภายใต้ บังคับ พระราชบัญญัติ มหาวิทยาลัยเกษตรศาสตร์   พ.ศ.   2558   ซึ่ง,ปรากฏ,"['การประเมิน', 'มหาวิทยาลัยเกษตรศาสตร์']"
ปัจจุบัน   มหาวิทยาลัยเกษตรศาสตร์ อยู่ ภายใต้ บังคับ พระราชบัญญัติ มหาวิทยาลัยเกษตรศาสตร์   พ.ศ.   2558   ซึ่ง,ได้รับ,"['การประเมิน', 'ระดับ']"
ปัจจุบัน   มหาวิทยาลัยเกษตรศาสตร์ อยู่ ภายใต้ บังคับ พระราชบัญญัติ มหาวิทยาลัยเกษตรศาสตร์   พ.ศ.   2558   ซึ่ง,ดีมาก,"['สาขา', 'วิชาการ']"
ปัจจุบัน   มหาวิทยาลัยเกษตรศาสตร์ อยู่ ภายใต้ บังคับ พระราชบัญญัติ มหาวิทยาลัยเกษตรศาสตร์   พ.ศ.   2558   ซึ่ง,จัดการ,"['ศัตรูพืช', 'Pest', 'Management', 'ภาควิชา', 'กีฏวิทยา', 'คณะ', 'เกษตร']"
อีก ทั้ง ยัง,เป็น,"['1', 'มหาวิทยาลัย']"
อีก ทั้ง ยัง,วิจัย,"['แห่งชาติ', 'กระทรวงศึกษาธิการ', 'ปี', 'พ.ศ.', '2552', 'ปัจจุบัน']"
มหาวิทยาลัยเกษตรศาสตร์,มี,"['วิทยาเขต', 'วิทยาเขต', 'กำแพง', 'วิทยาเขต', 'ศรีราชา', 'วิทยาเขต', 'เฉลิมพระเกียรติ', 'จังหวัด', 'สกลนคร', 'ยังมี', 'โครงการ']"
มหาวิทยาลัยเกษตรศาสตร์,จัดตั้ง,"['วิทยาเขต', 'สุพรรณบุรี']"
มหาวิทยาลัยเกษตรศาสตร์,เปิด,"['การสอน', 'สถาบัน', 'สมทบ']"
มหาวิทยาลัยเกษตรศาสตร์,มี,['หลักสูตร']
มหาวิทยาลัยเกษตรศาสตร์,เป็น,"['หลักสูตร', 'นานาชาติ']"
นอกจากนี้   ยัง ได้,จัดตั้ง,"['สถาบันวิจัย', 'จังหวัด', 'ต่าง ๆ']"
นอกจากนี้   ยัง ได้,ดำเนิน,"['การวิจัย', 'ศาสตร์', 'ต่าง ๆ']"
มหาวิทยาลัยเชียงใหม่   ( อังกฤษ :   Chiang   Mai   University ;   อักษรย่อ :   มช.   –   CMU )  ,เป็น,"['มหาวิทยาลัย', 'รัฐ']"
มหาวิทยาลัยเชียงใหม่   ( อังกฤษ :   Chiang   Mai   University ;   อักษรย่อ :   มช.   –   CMU )  ,จัดตั้งขึ้น,['ส่วนภูมิภาค']
มหาวิทยาลัยเชียงใหม่   ( อังกฤษ :   Chiang   Mai   University ;   อักษรย่อ :   มช.   –   CMU )  ,เป็น,"['มหาวิทยาลัย', 'รัฐ', 'ที่หก', 'ประเทศ', 'ไทย']"
มหาวิทยาลัยเชียงใหม่   ( อังกฤษ :   Chiang   Mai   University ;   อักษรย่อ :   มช.   –   CMU )  ,ก่อตั้ง,"['วันที่', 'มกราคม', 'พ.ศ.', '2507']"
มหาวิทยาลัยเชียงใหม่   ( อังกฤษ :   Chiang   Mai   University ;   อักษรย่อ :   มช.   –   CMU )  ,ตั้งอยู่,"['บริเวณ', 'เชิง', 'ดอย', 'สุเทพ', 'อำเภอ', 'เมือง', 'เชียงใหม่']"
ปัจจุบัน มหาวิทยาลัยเชียงใหม่,มี,['สถานะ']
ปัจจุบัน มหาวิทยาลัยเชียงใหม่,เป็น,"['มหาวิทยาลัย', 'กำกับ', 'รัฐ', 'พระราชบัญญัติ', 'มหาวิทยาลัยเชียงใหม่', 'พ.ศ.', '2551', 'มหาวิทยาลัยเชียงใหม่']"
